county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Al, Tuscaloosa County",1,125,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,7,4,3
"Al, Walker County",1,127,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0
"Al, Washington County",1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Wilcox County",1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Winston County",1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Aleutians East Borough",2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Aleutians West Census Area",2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Anchorage Municipality",2,20,1,1,2,1,1,1,3,1,4,0,3,1,5,4,2,5,6,3
"Al, Bethel Census Area",2,50,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Al, Bristol Bay Borough",2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Denali Borough",2,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Al, Dillingham Census Area",2,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Al, Fairbanks North Star Borough",2,90,1,0,1,1,0,0,0,1,0,0,1,1,2,0,2,5,1,1
"Al, Haines Borough",2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Hoonah-Angoon Census Area",2,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Juneau City and Borough",2,110,0,1,0,1,0,0,0,1,0,0,0,2,1,0,1,0,0,1
"Al, Kenai Peninsula Borough",2,122,0,0,0,0,0,1,1,1,0,3,3,1,0,1,1,2,1,4
