county,state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Effingham County,IL,8.6,5.13,12.74,9.88,10.47,9.65,5.93,14.34,9.54,11.13,8.35,13.94,7.33,12.24,11.03,17.32,6.65,17.33,10.37,12.27,15.67
El Dorado County,CA,0.64,0.22,1.27,0.43,0.93,0.11,0.93,0.03,0.2,0.15,0.47,0.55,1.94,2.2,0.59,0.14,1.16,0.15,1.65,0.14,0.52
El Paso County,CO,6.15,3.93,4.69,8.66,4.86,10.34,5.93,6.97,7.37,6.05,8.02,5.69,11.35,7.69,5.35,4.54,9.72,7.24,4.69,4.1,5.89
El Paso County,TX,2.42,3.46,1.41,6.18,6.46,13.36,5.6,11.03,4.02,5.52,4.64,4.82,8.16,9.11,4.97,6.81,7.02,3.7,2.97,2.76,6.4
Elbert County,CO,5.98,4.08,4.45,8.49,4.69,8.96,6.21,7.95,7.68,6.02,6.4,4.67,9.92,8.03,5.54,3.56,7.96,6,5.23,3.97,3.86
Elbert County,GA,9.01,11.44,13.79,22.56,12.17,10.76,8.05,12.07,14.42,12.55,6.54,13.87,17.77,9.16,14.69,8.5,9.42,12.92,7.99,17.51,14.68
Elk County,KS,8.6,10.13,11.74,8.86,12.09,7.69,9.27,16.11,17.15,15.83,7.57,5.97,17.91,8.61,11.93,20.39,8.19,12,12.57,9.81,9.06
Elk County,PA,9.23,9.67,18.83,20.42,10.66,17.9,10.89,9.96,13.9,10.73,13.3,11.55,10.77,12.12,13.07,11.41,9.58,18.29,11.13,8.55,17.03
Elkhart County,IN,14.34,6.89,14.45,11.38,14.18,13.91,15.43,13.03,11.68,7.08,11.92,11.02,7.3,9.25,12.77,12.75,9.17,9.89,11.31,8.55,9.35
Elko County,NV,1.59,1.38,2.27,3.03,1.25,1.31,1.58,0.55,1.5,1.36,1.14,1.75,3,4.01,3.35,2.15,2.3,0.42,2.58,0.49,1.7
Elliott County,KY,11.47,11.68,13.02,18.5,10.65,16.61,9.14,6.96,13.62,12.18,15.21,18.32,13.9,11.53,17.97,11.67,12.43,22.75,10.98,13.64,14.81
Ellis County,KS,11.07,6.51,7.14,10.98,7.26,8.62,10.14,10.24,8.84,8.43,8.14,5.25,9.79,9.03,5.95,10.33,6.4,14.47,12.89,11.13,7.92
Ellis County,OK,6.15,8.23,6.56,8.18,9.23,6.97,5.99,9.4,7.1,6.35,4.19,4.99,12.43,6.78,6.1,8.66,9.76,10.75,4.36,6.05,5.54
Ellis County,TX,9.2,6.03,7.44,6.42,7.11,6.01,11.37,7.07,15.31,12.6,1.92,8.85,7.79,3.56,2.2,9.89,8.04,14.38,2.87,12.19,8.76
Ellsworth County,KS,11.65,6.88,8.67,9.75,7.49,10.25,13.4,12.41,12.56,10.17,7.43,6.31,15.55,8.58,7.45,14.74,6.51,12.32,9.78,11.29,8.28
Elmore County,AL,9.95,11.15,14.53,15.64,15.03,11.1,10.32,16.53,18.55,9.17,12.54,12.39,15.39,9.76,11.45,7.05,14.47,14.25,7.11,17.8,19.63
Elmore County,ID,1.58,0.5,1.18,1.99,0.62,0.73,1.18,0.84,1.35,1.23,0.48,0.82,2.65,2.99,2.42,1.11,1.73,0.14,1.69,0.85,2.23
Emanuel County,GA,10.25,14.56,17.06,18.16,11.46,7.69,12.92,10.38,13.08,12.86,10.86,12.25,20.23,13.13,10.14,7.82,13.56,14.5,8.59,16.98,17.96
Emery County,UT,2.24,3.69,2.16,2.27,2.62,2.98,3.53,1.79,1.29,2.12,3.81,3.07,6,5.17,3.54,3.65,3.4,1.9,0.79,0.6,4.36
Emmet County,IA,6.52,11.11,7.25,20.29,14.31,11.19,15.8,6.7,10.33,17.49,6.62,4.01,3.44,8.67,12.24,14.1,10.87,18.15,13.95,5.32,12.2
Emmet County,MI,11.65,10.5,12.13,7.63,11.2,9.91,8.47,7.2,9.92,12.77,8.59,8.75,9.16,10.92,8.01,11.38,8.25,8.2,8.58,11.73,13.26
Emmons County,ND,7.9,5.31,3.09,7.14,6.35,6.82,7.16,7.06,5.56,7.09,7.6,4.31,5.68,6.32,4.55,10.06,7.41,6.86,11.78,6.04,5.9
Emporia City,VA,12.45,12.35,20.87,26.16,7.47,21.35,6.93,10.27,12.32,13.27,20.58,22.02,12.2,17.79,14.31,13.54,11.14,17.35,10.33,23.26,14.65
Erath County,TX,7.08,6.4,6.48,8,6.49,5.41,10.01,7.45,13.48,12.25,3.8,7.24,10.97,5.78,6.96,7.64,9.16,12.58,3.92,10.65,6.84
Erie County,NY,7.65,8.74,12,15.1,13.56,16.32,9.15,13.07,13.65,9.48,10.29,9,10.65,12.21,12.7,9.94,12.15,11.74,10.98,9.5,17.05
Erie County,OH,7.62,7.87,13.22,9.88,15.28,10.17,14.08,9.65,6.21,7.26,16.31,12,12.96,9.77,10.48,9.72,8.66,11.69,8.66,9.92,12.85
Erie County,PA,9.36,11.21,16.81,16.32,13.07,17.26,13.16,11.69,12.84,12.39,12.95,11.34,12.97,12.07,9.57,17.43,7.36,12.64,13.57,9.19,16.05
Escambia County,AL,16.7,23.61,24.96,19.2,25.38,14.24,13.39,17.84,16.5,11.85,15.28,20.93,18.66,12.12,13.69,14.01,17.59,24.73,11.38,26.39,25.46
Escambia County,FL,18.14,26.16,23.61,22.7,21.99,15.65,13.28,18.42,18.66,15.03,18.47,20.68,24.16,11.81,14.72,17.99,20.99,28.3,13.02,33.26,27.93
Esmeralda County,NV,1.71,0.56,1.19,1.1,1.31,0.64,1.19,0.65,0.65,0.42,1.31,2.35,2.61,2.15,1.29,0.31,1.74,1.71,0.53,0.06,1.2
Essex County,MA,8.3,7.61,10.69,16.9,6.59,11.9,7.81,20.23,15.53,9.41,15.58,9.48,10,10.13,7.64,6.08,7.72,15.73,9.86,7.32,23.74
Essex County,NJ,9.87,10.5,16.76,21.63,6.75,13.96,14.49,13.74,14.11,10.5,27.61,10.93,10.97,9.63,7.41,10.13,11.07,21.72,13.32,15.44,26.15
Essex County,NY,9.76,9.05,12.24,16.29,13.08,12.16,9.81,14.5,13.82,13.05,18.36,12.04,12.32,11.74,11.7,10.85,11.48,10.47,10.78,12.76,16.77
Essex County,VA,13.38,6.78,21.09,25.51,9.71,16.66,7.2,11.53,13.53,11.57,25.04,10.92,11.13,9.79,11.36,13.59,11.86,18.14,9.71,20.55,15.03
Essex County,VT,10.87,10.18,12.49,16.54,14.44,12.4,14.84,17.32,12.9,13.42,15.96,12.95,15.49,11.4,13.19,12.41,10.77,12.85,11.79,9.09,12.45
Estill County,KY,15.19,11.4,14.59,17.33,11.83,16.47,11.6,5.89,15.58,10.94,12.58,15.33,16.77,11.78,16.97,16.37,15.65,23.93,11.05,16.48,19.63
Etowah County,AL,13.55,16.46,15.56,15.55,15.5,8.4,9.49,12.03,16.35,7.8,16.48,15.15,17.1,8.54,12.03,8.69,12.87,12.79,9.59,13.42,16.65
Eureka County,NV,1.39,0.99,2.74,3.28,1.32,0.94,1.99,0.63,0.97,1.28,1.07,2.16,3.08,3.22,2.87,1.7,2.56,0.92,1.41,0.36,1.52
Evangeline Parish,LA,18.28,14.83,12.81,7.16,18.77,12.74,17.22,17.1,12.25,11.82,14.26,16.56,12.07,15.51,7.5,23.43,17.15,17.97,22.34,17.75,25.43
Evans County,GA,11.15,14.95,19.06,17.59,12.34,10.07,17.2,12.11,13.52,13.93,11.15,16.33,17.99,17.13,8.39,9.7,17.45,14.35,8.01,14.12,21.75
Fairfax City,VA,13.23,8.29,18.95,14.81,9.49,10.51,6.3,10.92,8.77,14.4,18.13,8.77,8.73,9.49,8.86,9.35,13.82,22.93,8.99,17.14,15.85
Fairfax County,VA,12.98,8.36,18.5,15.05,9.31,10.85,6.42,11.11,8.9,14.4,18.32,8.92,8.76,9.4,9.02,9.73,14.13,23.12,8.76,17.53,15.44
Fairfield County,CT,11.61,12.15,15.7,20.09,7.77,13.06,10.27,16.43,12.02,10.98,22.79,13.74,9.37,9.86,9.98,9.37,8.76,19.12,9.24,11.97,21.14
Fairfield County,OH,9.42,9.31,15.59,15.09,11.46,14.4,11.2,7.01,11.31,9.48,13.39,9.75,12.41,8.58,9.84,10.83,14.66,13.83,9.11,9.98,11.27
Fairfield County,SC,9.15,12.71,12.94,20.82,9.39,12.78,4.82,15.64,7.86,13.22,10.28,13.51,16.39,13.56,12.24,12.45,10.33,13.69,9.16,14.67,11.69
Fall River County,SD,4.8,6.09,3.25,6.16,4.8,4.42,4.88,5.66,4.71,4.48,4.28,1.95,7.14,7.84,4.05,5.79,3.77,6.29,7.6,4.02,3.83
Fallon County,MT,5.1,3.6,3.07,5.89,2.82,4.31,3.97,2.84,4.73,5.23,2.2,3.24,6.86,6.52,5.49,8.08,4.07,3.59,11.09,4.15,3.54
Falls Church City,VA,13.75,8.51,19.12,14.96,9.37,10.49,6.45,11.25,9.71,14.39,19.57,9.04,8.7,9.85,8.53,10.12,14.53,23.77,9.21,18.17,16.83
Falls County,TX,11.2,5.85,6.62,6.89,9.97,5.29,8.79,8.51,12.17,10.55,1.88,10.67,9.59,5.02,1.04,9.08,7.39,10.13,2.42,13.47,9.35
Fannin County,GA,13.96,16.03,19.69,19.12,16.6,11.66,10.82,11.69,21.48,13.33,11.02,16.56,22.38,13.16,18.47,9.32,14.97,18.95,8.47,17.66,23.01
Fannin County,TX,11.18,11.18,8.24,6.1,6.49,6.09,12.08,7.47,12.64,12.15,1.53,8.12,6.94,9.71,3.71,9.31,17.07,19.61,5.39,15.93,4.97
Faribault County,MN,6.82,14.22,6.51,19.31,17.14,11.19,17.39,5.94,8.19,19.69,7.5,4.17,7.37,8.13,11.38,21.07,9.07,16.22,15.13,10.5,10.63
Faulk County,SD,5.59,8.15,3.49,9.45,5.83,7.69,6.37,9.7,7.96,8.69,6.36,3.29,4.49,4.45,7.66,5.2,8.87,9.07,14.17,6.71,9.09
Faulkner County,AR,8.63,10.19,11.8,6.8,12.04,9.52,12.43,17.22,18.78,9.95,10.1,13.18,8.98,8.36,9.65,15.19,12.3,18.44,12.17,13.71,8.28
Fauquier County,VA,12.8,9.82,18.89,16.86,9.61,10.98,6.3,10.15,8.26,11.68,12.12,11.21,9.15,8.79,11.64,13.39,12.87,22.72,8.39,16.86,13.69
Fayette County,AL,14.44,16.35,17.55,10.92,18.76,10.25,12.67,12.39,20.52,7.56,14.6,14.54,16.77,9.24,12.82,10.15,11.79,14.83,12.21,12.84,18.41
Fayette County,GA,6.64,10.32,14.16,18.26,20.23,11.48,11.01,11.54,17.16,10.51,10.34,10.34,14.91,9.73,13.87,8.34,14.69,14.25,4.93,17.68,15.3
Fayette County,IA,14.25,11.73,8.14,11.57,13.84,13.06,19.27,9.76,12.27,15.56,14.27,6.44,6.46,9.62,10.25,23.04,11.62,23.91,13.93,10.42,14.38
Fayette County,IL,9.51,6.16,12.25,10.08,11.11,8.57,5.83,14.19,10.4,12.25,8.81,16.16,9.32,12.98,14.04,17.91,6.63,15.38,11.93,11.74,14.2
Fayette County,IN,15.28,8.15,19.3,8.58,13.15,14,8.01,7.75,11.08,5.34,9.89,10.76,7.84,10.93,11.28,15.97,13.45,16.25,6.35,7.32,12.83
Fayette County,KY,14.4,10.02,14.61,14.72,10.02,18.19,10.76,6.35,17.14,8.83,15.28,14.3,14.73,13.38,14.89,12.9,12.75,24.53,8.28,12.33,16.73
Fayette County,OH,10.19,12.07,16.63,10.66,9.52,14.39,9.01,6.74,10.52,8.09,12,8.8,9.58,8.2,9.55,13.18,12.15,15.24,5.89,7.51,13.3
Fayette County,PA,11.35,10.27,17.73,16.98,8.09,11.52,15.17,10.93,9.85,10.09,16.62,14.3,17.72,11.31,10.33,11.79,14.3,22.3,10.78,9.55,16.33
Fayette County,TN,9.84,20.55,13.96,8.82,14.02,10.07,8.52,7.48,19.43,9.76,8,10.77,10.57,14.38,10.76,10.08,16.46,13,10.23,11.78,14.69
Fayette County,TX,13.46,11.63,12.58,6,8.08,8.15,13.4,5.27,9.54,12.07,1,10.94,8.11,6.78,3.57,11.09,26.57,10,3.61,11.04,12.7
Fayette County,WV,17.6,11.45,18.3,15.58,12.88,13.02,10.74,10.92,16.31,10.46,12.64,14.05,14.13,10.7,15.22,11.65,10.78,21.37,7.34,13.85,13.42
Fentress County,TN,12.3,13.08,18.02,17.38,10.8,15.42,8.68,11,17.44,16.37,15.38,16.33,16.67,16.15,18.18,13.47,14.48,18.56,9.78,16.14,18.26
Fergus County,MT,4.64,7.17,2.2,3.25,3.13,3.41,3.3,3.16,4.94,6.73,2.16,1.61,4.91,8.22,4.24,7.33,3.3,3.75,7.08,2.25,3.27
Ferry County,WA,1.76,1.42,0.84,4.41,1.82,1.14,1.94,2.26,3.27,2.85,1.21,1.89,4.71,3.07,1.38,2.38,0.56,0.99,4.74,1.62,2.13
Fillmore County,MN,10.19,10.82,6.47,14.95,17.66,11.05,21.34,7.54,8.45,18.04,8.18,7.79,5.81,11.23,9.7,24.91,7.2,18.78,16.77,9.76,12.36
Fillmore County,NE,9.68,6.78,8.09,7.25,8.56,13.44,13.19,10.46,7.27,8.51,9.38,2.97,6.8,10.4,9.07,9.28,8.52,13.19,15.3,9.63,6.37
Finney County,KS,5.63,5.64,4.77,11.06,7.45,8.42,6.37,4.74,7.49,5.02,3.35,5.43,9.78,8.86,8.54,8.46,7.7,11.72,3.39,8.93,5.9
Fisher County,TX,5.15,5.89,2.97,8.3,9.76,6.36,11.36,5.85,10.12,11.05,1.4,7.53,8.45,7.98,4.27,5.97,10.62,8.35,3.52,8.54,5.13
Flagler County,FL,31.22,22.47,18.49,33.45,19.96,12.21,23.14,29.19,18.3,12.03,17.79,18.96,22.21,24.78,20.68,12.46,25.08,18.39,16.22,25.77,20.73
Flathead County,MT,2.3,4.54,2.95,8.75,5.49,3.74,3.21,5.44,4.75,6.71,3.35,3.08,6.38,4.78,3.09,5.47,1.91,1.76,6.56,2.38,4.43
Fleming County,KY,15.52,9.89,13.97,13.73,10.17,16.3,8.55,6.96,18.69,10.53,12.97,15.37,11.75,9.69,16.68,11.01,13.34,26.8,11.13,14.62,16.72
Florence County,SC,10.74,17.12,13.3,23.94,11.42,13.2,9.73,22.5,9.88,17.3,13.59,16.95,18.51,15.28,13.5,17.29,15.73,17.19,15.19,21.95,17.8
Florence County,WI,8.5,11.64,9.67,7.31,9.59,10.85,6.67,6.41,6.11,18.66,6.18,7.76,9.5,10.73,9.92,10.78,9.63,11.02,12.06,15.95,8.29
Floyd County,GA,10.48,15.19,16.44,15.18,12.93,9.95,7.38,11.86,15.88,8.34,11.61,13.03,13.87,6.31,11.17,7.25,12.15,16.54,9.19,13.04,19.71
Floyd County,IA,11.08,15.33,6.84,13.68,14.99,10.94,17.42,9.08,9.12,11.53,8.91,5.07,6.84,9.89,12.91,28.13,10.71,23.26,12.43,8.41,16.26
Floyd County,IN,11.45,11.18,14.19,8.75,12.26,19.97,8.65,6.52,19.1,7.32,11.73,12.23,11.02,13.19,14.52,14.15,10.76,21.51,6.56,15.14,18.51
Floyd County,KY,12.44,10.81,15.22,14.71,9.43,14.6,6.42,9.76,13.79,10.69,15.81,18.67,12.87,17.39,16.48,11.6,13.36,17.52,7.35,13.33,14.89
Floyd County,TX,4.57,5.84,1.57,8.33,7.65,8,8.39,11.41,8.3,10.77,1.77,5.63,6.33,9.75,5.72,8.37,12.47,8.4,7.02,2.66,6.46
Floyd County,VA,10.48,11.86,17.68,18.78,9.55,12.14,9.33,10.83,13.07,13.76,12.66,12.51,15.99,14.16,20.47,15.44,8.75,21.96,8.19,18.72,16.8
Fluvanna County,VA,9.04,9.8,20.13,18.71,8.89,13.65,6.74,13.93,9.71,9.58,16.3,11.8,15.22,9.72,11.78,12.38,9.28,20.4,8.06,19.24,12.58
Foard County,TX,4.45,10.46,2.51,5.77,10.05,6.94,6.22,7.13,8.56,14.92,1.08,8.18,9.19,8.06,3.45,10.15,9.4,8.79,5.06,7.13,6.87
Fond du Lac County,WI,10.59,9.2,9.15,6.13,9.37,8.34,11.94,8.83,7.47,13.63,10.18,6.72,7.89,9.41,11.06,14.61,11.17,17.37,14.92,14.38,13.75
Ford County,IL,11.02,11.47,15.7,10.97,12.91,13.53,11.26,15.67,11.04,8.55,7.74,10,4.69,13.92,13.34,18.77,9.72,11.16,10.72,10.27,12.85
Ford County,KS,6.06,6.52,7.89,10.88,6.62,8.57,5.63,6.79,8.06,9.57,2.56,5.84,11.34,8.39,7.18,9.79,5.86,13.35,5.69,9.25,7.61
Forest County,PA,8.61,10.96,18.95,20.99,11.78,20.22,11.88,9.59,13.08,11.14,12.69,11.13,9.55,13.49,12.24,12.84,10.53,15.74,12.1,7.71,18.11
Forest County,WI,10.31,13.17,10.16,7.87,9.63,12.14,6.73,7.19,6.72,18.17,8.05,8.86,10.8,12.77,10.83,13.28,10.09,11.77,14.3,16.33,10.22
Forrest County,MS,19.27,21.94,21.72,10.63,19.43,14.8,16.21,18.08,15.68,12.47,25.86,32.94,17.5,10.77,12.04,17.11,16.96,20.21,15.23,14.94,28.26
Forsyth County,GA,14.6,12.79,16.51,20.69,21.72,9.32,7.82,12.82,20.34,13.69,8.91,14.13,21.14,9.84,16.06,9.25,11.57,12.74,8.8,16.97,17.74
Forsyth County,NC,9.14,12.79,20.8,17.95,12.74,15.09,6.53,13.69,8.52,14.45,13.64,14.76,13.64,8.74,14.7,11.59,8.98,19.63,7.77,16.48,14.13
Fort Bend County,TX,17.82,18.55,17.62,6.9,9.9,16.76,21.07,13.87,10.14,20.5,5.18,16.44,10.4,11.87,10.05,13.76,32.4,14.78,13.67,18.11,15.32
Foster County,ND,9.31,7.94,6.09,9.45,4.91,4.76,7.5,8.56,6.89,9.27,12.26,4.06,4.73,5.17,6.69,10.82,6.72,5.64,14.32,8.32,4.49
Fountain County,IN,11.84,13.23,20.99,8.19,13.69,12.95,8.47,10.87,8.95,9.58,8.23,12,8.47,12.32,10.24,15.9,9.4,13.79,8.69,8.34,11.72
Franklin City,VA,9.99,12.06,20.14,25.72,11.16,17.08,7.57,14.06,13.85,13.91,25.81,18.4,10.41,17.25,12.65,19.85,15.18,17.61,12.55,26.9,19.26
Franklin County,AL,16.6,17.25,14.87,15.84,18.2,10.55,10.78,10.02,19.17,9.24,15.17,16.15,15.73,11.48,15.33,10.78,17.34,9.86,13.51,19.12,22.7
Franklin County,AR,9.21,12.01,8.28,10.87,11.65,12.39,11.81,16.98,19.64,15.85,9.1,13.32,13.27,12.53,13.15,12.86,15.76,16.9,16.59,18.09,12.03
Franklin County,FL,23.36,19.16,23.36,17.02,16.84,16.33,16.15,17.04,23.15,17.67,16.88,23,27.37,13.82,15,20.61,15.76,21.04,14.38,36.74,28.6
Franklin County,GA,10.64,14.15,14.23,20.69,15.79,10.26,8.8,11.06,15.16,12.4,9.28,11.94,22.11,9.73,13.18,8.49,11.12,12.56,7.04,16.58,14.27
Franklin County,IA,11.62,15.73,8.83,10.43,12.37,14.29,17.52,8.92,10.82,16.08,8.23,5.39,8.01,10.93,14.58,20.12,8.25,22.64,11.94,7.47,10.39
Franklin County,ID,1.45,3.67,2.07,4.36,1.97,4.36,2.87,1.83,2.11,1.63,3.17,1.7,3.83,8.23,5.7,4.23,3.59,0.76,5.07,1.26,3.95
Franklin County,IL,11.5,5.41,7.5,10.07,14.02,15.4,5.08,9.37,15.87,9.3,13.5,12.39,8.89,9.7,12.52,23.49,7.02,14.58,5.36,9.42,12.21
Franklin County,IN,17.07,7.8,16.52,8.31,13.53,13.95,6.17,7.18,13.67,5.51,9.33,10.45,8.3,10.28,11.37,17.26,12.15,14.97,5.24,8.62,12.57
Franklin County,KS,12.17,5.13,10.74,13.2,17.99,10.43,11.4,13.46,16.27,16.45,6.73,7.42,10.58,9.04,11.45,17.55,13.12,12.48,19.06,9.26,11.85
Franklin County,KY,12.78,8.1,18.83,12.46,8.06,19.51,8.7,4.55,16.84,7.46,13.41,12.17,11.53,12.43,19.04,14.46,12.82,23.15,7.94,10.6,18.85
Franklin County,MA,10.87,9.22,17.5,16.33,10.5,11.47,10.57,18.17,14.74,8.05,21.64,13.48,13.4,13.54,13.38,9.86,9.89,23.67,9.59,10.9,23.34
Franklin County,ME,10.03,8.37,11.5,14.76,12.34,12.18,12.79,18.53,12.84,12.37,17.04,12.55,14.05,13.04,11.38,9.96,11.61,13.91,10.71,8.41,11.13
Franklin County,MO,8,8.53,9.61,13.73,13.73,8.8,6.16,20.97,11.4,17.74,9.86,10.91,6.31,9.03,10.91,19.78,9.08,9.66,14.52,13.76,9.15
Franklin County,MS,19.87,22.02,11.45,10.56,13.96,11.87,17.23,25.16,14.95,10.23,13.21,26.32,11.28,14.16,7.68,20.63,21.55,14.94,14.9,14.7,18.3
Franklin County,NC,12.42,17.5,15.58,18.29,7.2,15.25,5.74,15.51,9.58,14,16.72,16.86,11.26,15.91,11.77,13.37,11.4,18.7,9.8,20.82,14.54
Franklin County,NE,9.64,5.23,5.03,9.47,6.98,9.2,9.75,8.53,8.11,10.6,11.94,3.89,7.62,9.41,8.82,9.54,8.86,12.13,12.82,8,10.81
Franklin County,NY,10.62,9.65,11.08,13.52,15.51,12.01,12.44,12.08,13.17,15.39,15.75,11.67,13.14,10.71,11.51,9.55,11.17,10.1,10.72,11.34,13.65
Franklin County,OH,9.43,9.47,18.93,12.25,12.99,13.5,10.58,6.52,9.58,8.93,13.74,10.17,12.43,9.86,11.96,12.46,13.23,16.78,8.17,9.43,14.71
Franklin County,PA,6.72,10.56,16.36,18.48,9.2,8.69,8.83,12.35,11.53,10.68,17.03,14.96,8.64,10.42,8.13,9.9,13.24,24.29,8.55,9.34,16.53
Franklin County,TN,18.12,13.07,19.14,14.76,13.91,9.82,9.43,8.41,17.38,10.07,13,19.92,16.55,11,15.04,12.78,18.73,18.12,11.13,17.84,23.7
Franklin County,TX,11.84,7.3,6.81,4.94,8.82,4.55,13.86,11.18,20.27,7.07,2.9,8.35,11.19,7.08,2.69,7.79,15.16,15.36,6.49,11.72,6.27
Franklin County,VA,8.36,10.5,17.93,19.64,10.04,12.41,7.67,11.36,11.38,15.72,11.22,10.91,12.68,12.06,15.31,12.12,8.19,23.65,8.47,16.74,13.97
Franklin County,VT,9.72,13.32,11.9,17.46,13.79,12.18,13.67,12.65,12.91,15.03,17,14.05,13.46,11.69,13.28,12.36,11.11,9.84,10.91,13.03,10.43
Franklin County,WA,0.64,0.5,0.36,0.95,1.08,0.37,0.77,0.43,0.48,1.61,0.16,0.95,1.73,0.67,0.38,0.71,0.47,0.03,1.08,0.31,0.71
Franklin Parish,LA,13.03,13.4,8.75,11.85,12.67,10.3,19.38,24.42,12.6,9.66,10.32,18.87,8.47,13.24,5.44,13.17,10.69,14.17,9.8,15.81,13.01
Frederick County,MD,8.54,10.81,18.91,15.3,9.55,10.12,6.89,12.37,10.92,11.74,18.21,13.5,7.71,10.27,9.3,12.35,14.39,26.79,10.45,9.67,18.72
Frederick County,VA,11.5,11.63,17.2,17.13,8.6,9.93,7.92,12.22,7.99,8.65,13.02,14.09,8.79,8.45,9.84,14.17,11.76,22.92,8.89,14.61,12.81
Fredericksburg City,VA,9.83,8.29,15.08,17.23,10.04,13.6,8.41,10.43,7.98,12.51,19.54,9.71,8.42,7.51,9.69,14.47,12.85,17.38,9.66,20.91,13.9
Freeborn County,MN,8.14,14.55,7.24,20.74,15.88,12.12,19.14,7.74,7.29,17.56,8.94,5,8.64,9.92,14.15,23.85,10.56,16.55,14.72,10.44,12.84
Freestone County,TX,9.8,6,8.65,7.34,9.46,4.28,11.6,11.94,10.03,6.93,2.82,12.38,11.43,6.02,2.06,11.48,8.09,11.98,2.88,15.65,9.94
Fremont County,CO,4.94,4.01,4.21,4.91,4.71,10.37,6.72,4.35,5.68,4.99,4.84,5.05,9.22,5.66,5.22,4.24,8.1,5.27,3.17,4.22,5.46
Fremont County,IA,8.89,10.78,5.14,9.52,6,13.71,13.08,8.11,8.31,13.77,9.98,6.09,6.08,14.15,17.85,19.65,8.76,16.41,12.99,7.99,10.53
Fremont County,ID,2.4,3.1,1.88,4.84,3.13,3.16,3.15,1.47,2.67,2.54,2.05,2.43,4.09,7.53,5.31,3.18,4.51,1.01,5.51,1.78,3.9
Fremont County,WY,2.31,2.59,2.76,4.68,2.22,2.35,4.02,2.06,2.57,1.98,1.55,0.96,4.88,4.37,2.39,3.29,4.19,1.29,3.23,1.5,3.11
Fresno County,CA,0.67,0.14,0.84,0.22,0.77,0.27,0.75,0.24,0.15,0.06,0.49,0.26,0.55,0.77,0.74,0.09,0.69,0.27,0.08,0.02,0.14
Frio County,TX,4.58,23.48,15.26,8.55,4.34,5.55,14.99,8.59,6.57,6.65,1.21,10.1,6.87,3.59,1.67,10.13,9.32,13.85,1.84,6.42,6.99
Frontier County,NE,9.19,2.9,3.67,11.49,6.42,8.81,9.97,7.8,8.8,6.96,7.78,3.18,7.3,6.93,7.87,6.7,9.5,7.83,13.22,5.6,7.66
Fulton County,AR,9.9,11.55,13.39,8.68,12.9,16.53,9.16,14.71,18.23,12.06,9.15,11.03,11.35,6.09,12.42,16.64,10.77,11.32,10.24,11.45,8.02
Fulton County,GA,9.99,11.81,14.57,19.9,21.59,11.82,8.11,10.34,20.73,10.26,8.87,9.92,18.83,11.39,14.17,9.22,13.36,14.46,6.7,17.6,16.97
Fulton County,IL,9.74,10.61,13.77,9.61,8.19,9.89,7.34,17.95,14.55,16.86,6.15,7.39,5.05,15.83,10.48,18.11,9.22,14.01,11.19,9.12,9
Fulton County,IN,14.99,8.57,18.4,14.17,12.22,14.06,13.59,10.41,9.47,9.63,12.79,11.01,8.19,13.52,10.39,14.9,12.29,12.18,11.29,7.52,10.78
Fulton County,KY,10.54,14.22,14.37,8.8,16.43,18.27,7.57,5.09,14.46,6.52,8.31,12.28,14.89,7.92,13.04,11.75,9.21,10.47,13.73,16.51,12.17
Fulton County,NY,8.88,12.48,18.13,16.47,11.91,12.95,11.65,15.91,14.22,11.93,23.86,10.69,11.43,11.99,12.32,12.56,11.2,17.48,12.34,13.59,21.16
Fulton County,OH,8.52,6.38,14.36,9.22,10.86,14.14,14.47,10.67,7.25,7.35,12.88,9,8.41,8.66,9.51,12.77,8.34,9.26,13.85,7.41,14.5
Fulton County,PA,7.55,9.98,15.92,20.14,7.74,9.23,10.05,10.42,9.07,9.8,16,13.32,8.67,7.28,8.27,8.7,12.42,22.46,10.23,11.85,16.47
Furnas County,NE,9.95,2.93,3.85,11.34,6.65,9.58,8.44,9.49,11.08,7.83,10.06,3.59,6.95,8.39,9.99,8.41,10.68,10.79,9.78,7.62,8.44
Gadsden County,FL,19.63,17.56,15.09,19.97,27.8,12.01,14.08,22.5,10.41,13.04,12.45,19.4,27.16,11.88,11.62,16.87,15.09,22.09,11.17,26.54,26.68
Gage County,NE,15.21,7.8,6.68,8.1,8.72,15.18,11.71,8.82,7.85,12.94,10.5,4.51,9.19,9.86,10.31,11,8.02,14.8,15.22,9.41,7.46
Gaines County,TX,3.69,3.48,2.29,11.74,4.96,8.62,6.14,6.89,5.48,8.79,1.77,5.64,4.61,10.19,5.56,10.66,6.95,7.55,4.67,1.79,5.36
Galax City,VA,10.54,13.9,15.6,23.71,10.06,11.32,8.43,13.05,12.99,16.91,13.52,11.95,22.81,11.53,17.19,14.01,10.49,20.79,8.67,17.5,14.53
Gallatin County,IL,11.92,7.7,10.74,8.43,13.55,18.07,6,9.42,14.85,5.75,15.53,13.18,9.52,9.19,13.37,19.06,6.55,10.9,7.46,12.07,11.9
Gallatin County,KY,14.32,8.92,20.73,10.12,12.72,13.83,7.88,7.65,16.58,5.26,12.33,10.36,11.06,10.88,12.35,13.43,13.5,18.99,7.82,12.22,13.75
