county,state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Adams County,ID,2.03,1.93,1.81,4.51,0.74,1.53,2.35,1.95,2.31,1.71,0.72,0.54,5.29,2.12,3.59,2.09,1.59,0.35,2.59,1.09,1.91
Adams County,IL,10.16,9.75,14.36,13.71,9.55,9.67,5.65,18.19,12.34,19.67,3.27,8.73,4.5,16.49,13.16,15.76,7.44,15.27,12.55,9.61,10.18
Adams County,IN,13.23,9.39,22.15,12.99,11.42,9.43,13.52,7.31,6.4,8.55,11.19,13.48,9.96,12.89,15.15,11.49,9.87,13.37,9.54,8.82,11.91
Adams County,MS,19.53,15.42,13.43,10.71,12.46,9.74,13.32,24.98,16.36,15.76,11.38,23.07,11.64,12.77,6.21,15.29,20.17,12.9,14.72,13.59,16.24
Adams County,ND,5.88,3.57,5.16,5.37,4.34,4.83,4.48,3.58,5.17,9.03,4.24,4.39,7.83,5.66,3.36,5.52,5.08,4.12,8.91,5.4,4.42
Adams County,NE,9.55,6.86,5.14,10.05,6.23,11.11,10.34,9.65,8.56,8.63,9.77,4.11,6.97,10.78,7.49,8.67,10.87,11.16,13.09,5.46,8.68
Adams County,OH,12.34,8.29,17.08,12.06,13.81,14.01,7.73,6,15.17,9.58,11.99,11.08,10.66,7.36,12.19,12.55,9.95,22.06,9.19,11.29,15.66
Adams County,PA,7.95,10.5,16.82,17.69,10.22,8.71,8.35,13.94,12.18,12.1,20.01,14.76,9.67,9.66,10.73,10.49,13.37,26.69,9.88,8.73,20.12
Adams County,WA,0.74,0.42,0.48,1.3,1.07,0.28,0.83,0.36,0.75,1.41,0.39,1.23,2.03,0.91,0.68,0.85,0.51,0.1,1.8,0.3,0.97
Adams County,WI,12.27,10.08,8.15,7.7,10.66,11.15,15.09,9.49,7.73,19.76,9.67,5.67,5.73,10.25,10.7,20.56,10.13,19.95,15.19,11.46,13.56
Addison County,VT,8.67,9.14,13.7,16.01,11.52,13.8,10.98,16.37,12.76,11.96,19.98,11.42,14.25,10.8,10.19,9.42,10.49,9.61,9.98,11.09,14.4
Aiken County,SC,8.7,12.12,17.63,16.16,10.18,12.11,9.51,12.93,11.52,12.75,10.66,14.52,17.9,11.15,12.51,14.03,13.78,14.25,9.51,19.6,18.89
Aitkin County,MN,6.62,16.22,8.41,12.65,7.86,6.27,10.16,8.42,8.4,14.66,10.06,7.68,6.29,11.43,11.94,16.49,14.13,12.84,14.41,13.98,8.19
