County,State,State Abbreviation,Precipitation (in),Year
Autauga County,Alabama,AL,12.33,2001
Baldwin County,Alabama,AL,22.22,2001
Barbour County,Alabama,AL,8.99,2001
Bibb County,Alabama,AL,14.56,2001
Blount County,Alabama,AL,16.24,2001
Bullock County,Alabama,AL,8.31,2001
Butler County,Alabama,AL,12.50,2001
Calhoun County,Alabama,AL,12.73,2001
Chambers County,Alabama,AL,8.79,2001
Cherokee County,Alabama,AL,12.17,2001
Chilton County,Alabama,AL,12.95,2001
Choctaw County,Alabama,AL,15.02,2001
Clarke County,Alabama,AL,15.01,2001
Clay County,Alabama,AL,10.42,2001
Cleburne County,Alabama,AL,11.08,2001
Coffee County,Alabama,AL,13.56,2001
Colbert County,Alabama,AL,14.77,2001
Conecuh County,Alabama,AL,17.30,2001
Coosa County,Alabama,AL,10.95,2001
Covington County,Alabama,AL,16.44,2001
Crenshaw County,Alabama,AL,11.70,2001
Cullman County,Alabama,AL,15.54,2001
Dale County,Alabama,AL,11.90,2001
Dallas County,Alabama,AL,14.05,2001
DeKalb County,Alabama,AL,13.41,2001
Elmore County,Alabama,AL,9.95,2001
Escambia County,Alabama,AL,16.70,2001
Etowah County,Alabama,AL,13.55,2001
Fayette County,Alabama,AL,14.44,2001
Franklin County,Alabama,AL,16.60,2001
Geneva County,Alabama,AL,15.06,2001
Greene County,Alabama,AL,16.02,2001
Hale County,Alabama,AL,14.31,2001
Henry County,Alabama,AL,10.46,2001
Houston County,Alabama,AL,14.32,2001
Jackson County,Alabama,AL,16.86,2001
Jefferson County,Alabama,AL,18.21,2001
Lamar County,Alabama,AL,12.31,2001
Lauderdale County,Alabama,AL,13.94,2001
Lawrence County,Alabama,AL,15.16,2001
Lee County,Alabama,AL,8.22,2001
Limestone County,Alabama,AL,15.75,2001
Lowndes County,Alabama,AL,10.68,2001
Macon County,Alabama,AL,8.14,2001
Madison County,Alabama,AL,17.39,2001
Marengo County,Alabama,AL,14.30,2001
Marion County,Alabama,AL,14.53,2001
Marshall County,Alabama,AL,17.39,2001
Mobile County,Alabama,AL,20.67,2001
Monroe County,Alabama,AL,15.74,2001
Montgomery County,Alabama,AL,10.26,2001
Morgan County,Alabama,AL,15.54,2001
Perry County,Alabama,AL,13.17,2001
Pickens County,Alabama,AL,14.52,2001
Pike County,Alabama,AL,10.46,2001
Randolph County,Alabama,AL,9.53,2001
Russell County,Alabama,AL,8.43,2001
St. Clair County,Alabama,AL,16.05,2001
Shelby County,Alabama,AL,15.76,2001
Sumter County,Alabama,AL,17.09,2001
Talladega County,Alabama,AL,11.94,2001
Tallapoosa County,Alabama,AL,9.23,2001
Tuscaloosa County,Alabama,AL,16.35,2001
Walker County,Alabama,AL,16.34,2001
Washington County,Alabama,AL,14.37,2001
Wilcox County,Alabama,AL,12.74,2001
Winston County,Alabama,AL,15.79,2001
Apache County,Arizona,AZ,4.45,2001
Cochise County,Arizona,AZ,7.33,2001
Coconino County,Arizona,AZ,4.25,2001
Gila County,Arizona,AZ,6.35,2001
Graham County,Arizona,AZ,6.05,2001
Greenlee County,Arizona,AZ,7.85,2001
La Paz County,Arizona,AZ,1.16,2001
Maricopa County,Arizona,AZ,1.92,2001
Mohave County,Arizona,AZ,1.97,2001
Navajo County,Arizona,AZ,3.79,2001
Pima County,Arizona,AZ,4.50,2001
Pinal County,Arizona,AZ,3.68,2001
Santa Cruz County,Arizona,AZ,8.68,2001
Yavapai County,Arizona,AZ,4.12,2001
Yuma County,Arizona,AZ,1.33,2001
Arkansas County,Arkansas,AR,5.98,2001
Ashley County,Arkansas,AR,11.50,2001
Baxter County,Arkansas,AR,9.24,2001
Benton County,Arkansas,AR,11.19,2001
Boone County,Arkansas,AR,10.33,2001
Bradley County,Arkansas,AR,8.72,2001
Calhoun County,Arkansas,AR,9.79,2001
Carroll County,Arkansas,AR,10.19,2001
Chicot County,Arkansas,AR,11.63,2001
Clark County,Arkansas,AR,8.47,2001
Clay County,Arkansas,AR,9.26,2001
Cleburne County,Arkansas,AR,7.72,2001
Cleveland County,Arkansas,AR,9.65,2001
Columbia County,Arkansas,AR,11.81,2001
Conway County,Arkansas,AR,9.05,2001
Craighead County,Arkansas,AR,7.23,2001
Crawford County,Arkansas,AR,8.36,2001
Crittenden County,Arkansas,AR,8.25,2001
Cross County,Arkansas,AR,6.14,2001
Dallas County,Arkansas,AR,11.46,2001
Desha County,Arkansas,AR,7.57,2001
Drew County,Arkansas,AR,8.20,2001
Faulkner County,Arkansas,AR,8.63,2001
Franklin County,Arkansas,AR,9.21,2001
Fulton County,Arkansas,AR,9.90,2001
Garland County,Arkansas,AR,10.32,2001
Grant County,Arkansas,AR,9.42,2001
Greene County,Arkansas,AR,7.28,2001
Hempstead County,Arkansas,AR,11.34,2001
Hot Spring County,Arkansas,AR,7.60,2001
Howard County,Arkansas,AR,10.21,2001
Independence County,Arkansas,AR,7.89,2001
Izard County,Arkansas,AR,9.14,2001
Jackson County,Arkansas,AR,6.43,2001
Jefferson County,Arkansas,AR,8.06,2001
Johnson County,Arkansas,AR,8.80,2001
Lafayette County,Arkansas,AR,12.27,2001
Lawrence County,Arkansas,AR,8.70,2001
Lee County,Arkansas,AR,5.73,2001
Lincoln County,Arkansas,AR,7.09,2001
Little River County,Arkansas,AR,10.60,2001
Logan County,Arkansas,AR,8.89,2001
Lonoke County,Arkansas,AR,7.10,2001
Madison County,Arkansas,AR,11.11,2001
Marion County,Arkansas,AR,10.50,2001
Miller County,Arkansas,AR,13.17,2001
Mississippi County,Arkansas,AR,6.28,2001
Monroe County,Arkansas,AR,5.55,2001
Montgomery County,Arkansas,AR,11.49,2001
Nevada County,Arkansas,AR,9.87,2001
Newton County,Arkansas,AR,10.64,2001
Ouachita County,Arkansas,AR,9.67,2001
Perry County,Arkansas,AR,9.24,2001
Phillips County,Arkansas,AR,5.91,2001
Pike County,Arkansas,AR,8.79,2001
Poinsett County,Arkansas,AR,6.71,2001
Polk County,Arkansas,AR,13.36,2001
Pope County,Arkansas,AR,7.91,2001
Prairie County,Arkansas,AR,5.74,2001
Pulaski County,Arkansas,AR,8.43,2001
Randolph County,Arkansas,AR,9.95,2001
St. Francis County,Arkansas,AR,6.29,2001
Saline County,Arkansas,AR,9.48,2001
Scott County,Arkansas,AR,10.48,2001
Searcy County,Arkansas,AR,12.36,2001
Sebastian County,Arkansas,AR,7.82,2001
Sevier County,Arkansas,AR,10.24,2001
Sharp County,Arkansas,AR,10.26,2001
Stone County,Arkansas,AR,9.23,2001
Union County,Arkansas,AR,10.13,2001
Van Buren County,Arkansas,AR,9.54,2001
Washington County,Arkansas,AR,11.05,2001
White County,Arkansas,AR,6.54,2001
Woodruff County,Arkansas,AR,5.36,2001
Yell County,Arkansas,AR,8.48,2001
Alameda County,California,CA,0.16,2001
Alpine County,California,CA,1.12,2001
Amador County,California,CA,0.44,2001
Butte County,California,CA,0.55,2001
Calaveras County,California,CA,0.39,2001
Colusa County,California,CA,0.42,2001
Contra Costa County,California,CA,0.13,2001
Del Norte County,California,CA,1.87,2001
El Dorado County,California,CA,0.64,2001
Fresno County,California,CA,0.67,2001
Glenn County,California,CA,0.58,2001
Humboldt County,California,CA,0.82,2001
Imperial County,California,CA,0.27,2001
Inyo County,California,CA,1.02,2001
Kern County,California,CA,0.15,2001
Kings County,California,CA,0.04,2001
Lake County,California,CA,0.50,2001
Lassen County,California,CA,0.78,2001
Los Angeles County,California,CA,0.12,2001
Madera County,California,CA,0.52,2001
Marin County,California,CA,0.17,2001
Mariposa County,California,CA,0.55,2001
Mendocino County,California,CA,0.32,2001
Merced County,California,CA,0.15,2001
Modoc County,California,CA,1.16,2001
Mono County,California,CA,1.53,2001
Monterey County,California,CA,0.10,2001
Napa County,California,CA,0.35,2001
Nevada County,California,CA,0.68,2001
Orange County,California,CA,0.02,2001
Placer County,California,CA,0.63,2001
Plumas County,California,CA,0.68,2001
Riverside County,California,CA,0.60,2001
Sacramento County,California,CA,0.29,2001
San Benito County,California,CA,0.11,2001
San Bernardino County,California,CA,0.58,2001
San Diego County,California,CA,0.21,2001
San Francisco County,California,CA,0.22,2001
San Joaquin County,California,CA,0.22,2001
San Luis Obispo County,California,CA,0.06,2001
San Mateo County,California,CA,0.27,2001
Santa Barbara County,California,CA,0.05,2001
Santa Clara County,California,CA,0.16,2001
Santa Cruz County,California,CA,0.20,2001
Shasta County,California,CA,1.27,2001
Sierra County,California,CA,0.72,2001
Siskiyou County,California,CA,2.17,2001
Solano County,California,CA,0.23,2001
Sonoma County,California,CA,0.22,2001
Stanislaus County,California,CA,0.15,2001
Sutter County,California,CA,0.32,2001
Tehama County,California,CA,0.73,2001
Trinity County,California,CA,1.42,2001
Tulare County,California,CA,0.58,2001
Tuolumne County,California,CA,1.08,2001
Ventura County,California,CA,0.06,2001
Yolo County,California,CA,0.27,2001
Yuba County,California,CA,0.48,2001
Adams County,Colorado,CO,5.99,2001
Alamosa County,Colorado,CO,4.49,2001
Arapahoe County,Colorado,CO,5.99,2001
Archuleta County,Colorado,CO,5.75,2001
Baca County,Colorado,CO,6.14,2001
Bent County,Colorado,CO,4.80,2001
Boulder County,Colorado,CO,6.37,2001
Broomfield County,Colorado,CO,5.48,2001
Chaffee County,Colorado,CO,5.47,2001
Cheyenne County,Colorado,CO,6.77,2001
Clear Creek County,Colorado,CO,7.96,2001
Conejos County,Colorado,CO,4.95,2001
Costilla County,Colorado,CO,4.90,2001
Crowley County,Colorado,CO,4.93,2001
Custer County,Colorado,CO,6.16,2001
Delta County,Colorado,CO,4.28,2001
Denver County,Colorado,CO,5.78,2001
Dolores County,Colorado,CO,4.90,2001
Douglas County,Colorado,CO,5.40,2001
Eagle County,Colorado,CO,5.53,2001
Elbert County,Colorado,CO,5.98,2001
El Paso County,Colorado,CO,6.15,2001
Fremont County,Colorado,CO,4.94,2001
Garfield County,Colorado,CO,4.64,2001
Gilpin County,Colorado,CO,7.71,2001
Grand County,Colorado,CO,5.21,2001
Gunnison County,Colorado,CO,6.18,2001
Hinsdale County,Colorado,CO,7.18,2001
Huerfano County,Colorado,CO,4.87,2001
Jackson County,Colorado,CO,4.46,2001
Jefferson County,Colorado,CO,6.51,2001
Kiowa County,Colorado,CO,5.05,2001
Kit Carson County,Colorado,CO,6.75,2001
Lake County,Colorado,CO,7.53,2001
La Plata County,Colorado,CO,5.93,2001
Larimer County,Colorado,CO,5.10,2001
Las Animas County,Colorado,CO,4.83,2001
Lincoln County,Colorado,CO,6.39,2001
Logan County,Colorado,CO,5.61,2001
Mesa County,Colorado,CO,4.70,2001
Mineral County,Colorado,CO,6.55,2001
Moffat County,Colorado,CO,3.03,2001
Montezuma County,Colorado,CO,4.06,2001
Montrose County,Colorado,CO,4.70,2001
Morgan County,Colorado,CO,6.69,2001
Otero County,Colorado,CO,4.26,2001
Ouray County,Colorado,CO,6.26,2001
Park County,Colorado,CO,6.47,2001
Phillips County,Colorado,CO,8.53,2001
Pitkin County,Colorado,CO,7.14,2001
Prowers County,Colorado,CO,4.91,2001
Pueblo County,Colorado,CO,4.93,2001
Rio Blanco County,Colorado,CO,3.93,2001
Rio Grande County,Colorado,CO,4.96,2001
Routt County,Colorado,CO,3.97,2001
Saguache County,Colorado,CO,5.56,2001
San Juan County,Colorado,CO,7.53,2001
San Miguel County,Colorado,CO,5.75,2001
Sedgwick County,Colorado,CO,7.58,2001
Summit County,Colorado,CO,6.57,2001
Teller County,Colorado,CO,6.33,2001
Washington County,Colorado,CO,7.65,2001
Weld County,Colorado,CO,5.08,2001
Yuma County,Colorado,CO,8.35,2001
Fairfield County,Connecticut,CT,11.61,2001
Hartford County,Connecticut,CT,8.33,2001
Litchfield County,Connecticut,CT,10.10,2001
Middlesex County,Connecticut,CT,8.92,2001
New Haven County,Connecticut,CT,9.28,2001
New London County,Connecticut,CT,10.62,2001
Tolland County,Connecticut,CT,9.83,2001
Windham County,Connecticut,CT,10.97,2001
Kent County,Delaware,DE,12.89,2001
New Castle County,Delaware,DE,9.04,2001
Sussex County,Delaware,DE,15.69,2001
Alachua County,Florida,FL,22.96,2001
Baker County,Florida,FL,21.39,2001
Bay County,Florida,FL,21.08,2001
Bradford County,Florida,FL,20.93,2001
Brevard County,Florida,FL,28.40,2001
Broward County,Florida,FL,30.21,2001
Calhoun County,Florida,FL,22.00,2001
Charlotte County,Florida,FL,32.64,2001
Citrus County,Florida,FL,27.78,2001
Clay County,Florida,FL,24.46,2001
Collier County,Florida,FL,34.67,2001
Columbia County,Florida,FL,22.40,2001
DeSoto County,Florida,FL,33.05,2001
Dixie County,Florida,FL,24.29,2001
Duval County,Florida,FL,24.05,2001
Escambia County,Florida,FL,18.14,2001
Flagler County,Florida,FL,31.22,2001
Franklin County,Florida,FL,23.36,2001
Gadsden County,Florida,FL,19.63,2001
Gilchrist County,Florida,FL,24.77,2001
Glades County,Florida,FL,28.76,2001
Gulf County,Florida,FL,23.40,2001
Hamilton County,Florida,FL,20.50,2001
Hardee County,Florida,FL,31.21,2001
Hendry County,Florida,FL,28.97,2001
Hernando County,Florida,FL,28.94,2001
Highlands County,Florida,FL,31.62,2001
Hillsborough County,Florida,FL,31.73,2001
Holmes County,Florida,FL,17.70,2001
Indian River County,Florida,FL,26.90,2001
Jackson County,Florida,FL,19.30,2001
Jefferson County,Florida,FL,18.43,2001
Lafayette County,Florida,FL,20.62,2001
Lake County,Florida,FL,29.96,2001
Lee County,Florida,FL,33.57,2001
Leon County,Florida,FL,21.43,2001
Levy County,Florida,FL,29.69,2001
Liberty County,Florida,FL,23.06,2001
Madison County,Florida,FL,15.75,2001
Manatee County,Florida,FL,32.69,2001
Marion County,Florida,FL,25.20,2001
Martin County,Florida,FL,29.58,2001
Miami-Dade County,Florida,FL,30.49,2001
Monroe County,Florida,FL,30.63,2001
Nassau County,Florida,FL,21.19,2001
Okaloosa County,Florida,FL,18.59,2001
Okeechobee County,Florida,FL,27.07,2001
Orange County,Florida,FL,27.62,2001
Osceola County,Florida,FL,28.95,2001
Palm Beach County,Florida,FL,30.33,2001
Pasco County,Florida,FL,28.91,2001
Pinellas County,Florida,FL,28.00,2001
Polk County,Florida,FL,32.21,2001
Putnam County,Florida,FL,26.76,2001
St. Johns County,Florida,FL,28.43,2001
St. Lucie County,Florida,FL,29.66,2001
Santa Rosa County,Florida,FL,15.23,2001
Sarasota County,Florida,FL,31.03,2001
Seminole County,Florida,FL,28.04,2001
Sumter County,Florida,FL,29.91,2001
Suwannee County,Florida,FL,22.01,2001
Taylor County,Florida,FL,18.22,2001
Union County,Florida,FL,21.90,2001
Volusia County,Florida,FL,31.67,2001
Wakulla County,Florida,FL,23.36,2001
Walton County,Florida,FL,18.95,2001
Washington County,Florida,FL,20.87,2001
Appling County,Georgia,GA,13.99,2001
Atkinson County,Georgia,GA,14.40,2001
Bacon County,Georgia,GA,14.99,2001
Baker County,Georgia,GA,11.43,2001
Baldwin County,Georgia,GA,10.98,2001
Banks County,Georgia,GA,10.83,2001
Barrow County,Georgia,GA,11.17,2001
Bartow County,Georgia,GA,12.29,2001
Ben Hill County,Georgia,GA,11.33,2001
Berrien County,Georgia,GA,16.62,2001
Bibb County,Georgia,GA,12.63,2001
Bleckley County,Georgia,GA,12.89,2001
Brantley County,Georgia,GA,20.32,2001
Brooks County,Georgia,GA,16.19,2001
Bryan County,Georgia,GA,14.12,2001
Bulloch County,Georgia,GA,11.04,2001
Burke County,Georgia,GA,8.86,2001
Butts County,Georgia,GA,9.30,2001
Calhoun County,Georgia,GA,8.50,2001
Camden County,Georgia,GA,22.64,2001
Candler County,Georgia,GA,11.42,2001
Carroll County,Georgia,GA,7.73,2001
Catoosa County,Georgia,GA,14.39,2001
Charlton County,Georgia,GA,18.34,2001
Chatham County,Georgia,GA,15.47,2001
Chattahoochee County,Georgia,GA,8.81,2001
Chattooga County,Georgia,GA,10.44,2001
Cherokee County,Georgia,GA,12.36,2001
Clarke County,Georgia,GA,12.00,2001
Clay County,Georgia,GA,8.62,2001
Clayton County,Georgia,GA,7.15,2001
Clinch County,Georgia,GA,15.22,2001
Cobb County,Georgia,GA,11.64,2001
Coffee County,Georgia,GA,13.22,2001
Colquitt County,Georgia,GA,16.02,2001
Columbia County,Georgia,GA,5.75,2001
Cook County,Georgia,GA,17.19,2001
Coweta County,Georgia,GA,6.50,2001
Crawford County,Georgia,GA,11.86,2001
Crisp County,Georgia,GA,12.64,2001
Dade County,Georgia,GA,13.56,2001
Dawson County,Georgia,GA,12.86,2001
Decatur County,Georgia,GA,15.60,2001
DeKalb County,Georgia,GA,10.98,2001
Dodge County,Georgia,GA,12.40,2001
Dooly County,Georgia,GA,12.64,2001
Dougherty County,Georgia,GA,11.59,2001
Douglas County,Georgia,GA,8.64,2001
Early County,Georgia,GA,9.81,2001
Echols County,Georgia,GA,18.10,2001
Effingham County,Georgia,GA,13.56,2001
Elbert County,Georgia,GA,9.01,2001
Emanuel County,Georgia,GA,10.25,2001
Evans County,Georgia,GA,11.15,2001
Fannin County,Georgia,GA,13.96,2001
Fayette County,Georgia,GA,6.64,2001
Floyd County,Georgia,GA,10.48,2001
Forsyth County,Georgia,GA,14.60,2001
Franklin County,Georgia,GA,10.64,2001
Fulton County,Georgia,GA,9.99,2001
Gilmer County,Georgia,GA,13.69,2001
Glascock County,Georgia,GA,9.10,2001
Glynn County,Georgia,GA,20.61,2001
Gordon County,Georgia,GA,11.79,2001
Grady County,Georgia,GA,17.52,2001
Greene County,Georgia,GA,8.03,2001
Gwinnett County,Georgia,GA,11.70,2001
Habersham County,Georgia,GA,11.86,2001
Hall County,Georgia,GA,14.17,2001
Hancock County,Georgia,GA,9.32,2001
Haralson County,Georgia,GA,9.20,2001
Harris County,Georgia,GA,7.85,2001
Hart County,Georgia,GA,11.06,2001
Heard County,Georgia,GA,8.27,2001
Henry County,Georgia,GA,7.23,2001
Houston County,Georgia,GA,12.68,2001
Irwin County,Georgia,GA,13.04,2001
Jackson County,Georgia,GA,12.35,2001
Jasper County,Georgia,GA,10.97,2001
Jeff Davis County,Georgia,GA,12.16,2001
Jefferson County,Georgia,GA,7.91,2001
Jenkins County,Georgia,GA,9.78,2001
Johnson County,Georgia,GA,8.71,2001
Jones County,Georgia,GA,11.62,2001
Lamar County,Georgia,GA,8.31,2001
Lanier County,Georgia,GA,14.81,2001
Laurens County,Georgia,GA,9.70,2001
Lee County,Georgia,GA,12.21,2001
Liberty County,Georgia,GA,15.86,2001
Lincoln County,Georgia,GA,5.73,2001
Long County,Georgia,GA,14.82,2001
Lowndes County,Georgia,GA,16.02,2001
Lumpkin County,Georgia,GA,12.23,2001
McDuffie County,Georgia,GA,6.67,2001
McIntosh County,Georgia,GA,19.17,2001
Macon County,Georgia,GA,10.76,2001
Madison County,Georgia,GA,11.31,2001
Marion County,Georgia,GA,9.96,2001
Meriwether County,Georgia,GA,7.57,2001
Miller County,Georgia,GA,10.64,2001
Mitchell County,Georgia,GA,14.34,2001
Monroe County,Georgia,GA,10.89,2001
Montgomery County,Georgia,GA,10.94,2001
Morgan County,Georgia,GA,10.09,2001
Murray County,Georgia,GA,14.35,2001
Muscogee County,Georgia,GA,7.97,2001
Newton County,Georgia,GA,8.31,2001
Oconee County,Georgia,GA,11.77,2001
Oglethorpe County,Georgia,GA,9.03,2001
Paulding County,Georgia,GA,9.79,2001
Peach County,Georgia,GA,12.23,2001
Pickens County,Georgia,GA,12.24,2001
Pierce County,Georgia,GA,19.09,2001
Pike County,Georgia,GA,7.06,2001
Polk County,Georgia,GA,10.93,2001
Pulaski County,Georgia,GA,13.90,2001
Putnam County,Georgia,GA,10.37,2001
Quitman County,Georgia,GA,9.19,2001
Rabun County,Georgia,GA,16.30,2001
Randolph County,Georgia,GA,8.94,2001
Richmond County,Georgia,GA,7.56,2001
Rockdale County,Georgia,GA,7.94,2001
Schley County,Georgia,GA,10.94,2001
Screven County,Georgia,GA,11.42,2001
Seminole County,Georgia,GA,14.09,2001
Spalding County,Georgia,GA,6.59,2001
Stephens County,Georgia,GA,10.64,2001
Stewart County,Georgia,GA,9.76,2001
Sumter County,Georgia,GA,11.97,2001
Talbot County,Georgia,GA,8.67,2001
Taliaferro County,Georgia,GA,6.73,2001
Tattnall County,Georgia,GA,12.16,2001
Taylor County,Georgia,GA,10.53,2001
Telfair County,Georgia,GA,11.45,2001
Terrell County,Georgia,GA,10.46,2001
Thomas County,Georgia,GA,16.79,2001
Tift County,Georgia,GA,15.15,2001
Toombs County,Georgia,GA,11.43,2001
Towns County,Georgia,GA,14.10,2001
Treutlen County,Georgia,GA,9.95,2001
Troup County,Georgia,GA,8.60,2001
Turner County,Georgia,GA,11.98,2001
Twiggs County,Georgia,GA,12.12,2001
Union County,Georgia,GA,13.67,2001
Upson County,Georgia,GA,8.77,2001
Walker County,Georgia,GA,12.96,2001
Walton County,Georgia,GA,10.01,2001
Ware County,Georgia,GA,16.63,2001
Warren County,Georgia,GA,7.93,2001
Washington County,Georgia,GA,9.38,2001
Wayne County,Georgia,GA,16.84,2001
Webster County,Georgia,GA,10.84,2001
Wheeler County,Georgia,GA,11.15,2001
White County,Georgia,GA,12.02,2001
Whitfield County,Georgia,GA,13.72,2001
Wilcox County,Georgia,GA,12.01,2001
Wilkes County,Georgia,GA,6.07,2001
Wilkinson County,Georgia,GA,10.58,2001
Worth County,Georgia,GA,13.27,2001
Ada County,Idaho,ID,0.74,2001
Adams County,Idaho,ID,2.03,2001
Bannock County,Idaho,ID,1.71,2001
Bear Lake County,Idaho,ID,1.30,2001
Benewah County,Idaho,ID,1.59,2001
Bingham County,Idaho,ID,1.65,2001
Blaine County,Idaho,ID,1.76,2001
Boise County,Idaho,ID,2.35,2001
Bonner County,Idaho,ID,1.60,2001
Bonneville County,Idaho,ID,2.12,2001
Boundary County,Idaho,ID,1.81,2001
Butte County,Idaho,ID,1.96,2001
Camas County,Idaho,ID,1.75,2001
Canyon County,Idaho,ID,0.42,2001
Caribou County,Idaho,ID,1.79,2001
Cassia County,Idaho,ID,2.18,2001
Clark County,Idaho,ID,2.34,2001
Clearwater County,Idaho,ID,1.73,2001
Custer County,Idaho,ID,3.27,2001
Elmore County,Idaho,ID,1.58,2001
Franklin County,Idaho,ID,1.45,2001
Fremont County,Idaho,ID,2.40,2001
Gem County,Idaho,ID,1.25,2001
Gooding County,Idaho,ID,0.85,2001
Idaho County,Idaho,ID,2.72,2001
Jefferson County,Idaho,ID,1.27,2001
Jerome County,Idaho,ID,0.79,2001
Kootenai County,Idaho,ID,1.32,2001
Latah County,Idaho,ID,1.31,2001
Lemhi County,Idaho,ID,3.53,2001
Lewis County,Idaho,ID,1.59,2001
Lincoln County,Idaho,ID,0.99,2001
Madison County,Idaho,ID,1.57,2001
Minidoka County,Idaho,ID,1.10,2001
Nez Perce County,Idaho,ID,1.26,2001
Oneida County,Idaho,ID,1.59,2001
Owyhee County,Idaho,ID,1.27,2001
Payette County,Idaho,ID,0.74,2001
Power County,Idaho,ID,2.11,2001
Shoshone County,Idaho,ID,1.87,2001
Teton County,Idaho,ID,2.78,2001
Twin Falls County,Idaho,ID,1.50,2001
Valley County,Idaho,ID,3.24,2001
Washington County,Idaho,ID,1.27,2001
Adams County,Illinois,IL,10.16,2001
Alexander County,Illinois,IL,15.32,2001
Bond County,Illinois,IL,9.13,2001
Boone County,Illinois,IL,14.10,2001
Brown County,Illinois,IL,10.38,2001
Bureau County,Illinois,IL,12.00,2001
Calhoun County,Illinois,IL,13.51,2001
Carroll County,Illinois,IL,13.53,2001
Cass County,Illinois,IL,9.94,2001
Champaign County,Illinois,IL,10.32,2001
Christian County,Illinois,IL,9.39,2001
Clark County,Illinois,IL,12.20,2001
Clay County,Illinois,IL,9.48,2001
Clinton County,Illinois,IL,10.40,2001
Coles County,Illinois,IL,10.41,2001
Cook County,Illinois,IL,13.64,2001
Crawford County,Illinois,IL,11.85,2001
Cumberland County,Illinois,IL,9.54,2001
DeKalb County,Illinois,IL,11.68,2001
De Witt County,Illinois,IL,8.92,2001
Douglas County,Illinois,IL,10.99,2001
DuPage County,Illinois,IL,13.26,2001
Edgar County,Illinois,IL,12.49,2001
Edwards County,Illinois,IL,10.32,2001
Effingham County,Illinois,IL,8.60,2001
Fayette County,Illinois,IL,9.51,2001
Ford County,Illinois,IL,11.02,2001
Franklin County,Illinois,IL,11.50,2001
Fulton County,Illinois,IL,9.74,2001
Gallatin County,Illinois,IL,11.92,2001
Greene County,Illinois,IL,11.84,2001
Grundy County,Illinois,IL,12.03,2001
Hamilton County,Illinois,IL,11.36,2001
Hancock County,Illinois,IL,12.70,2001
Hardin County,Illinois,IL,13.46,2001
Henderson County,Illinois,IL,10.69,2001
Henry County,Illinois,IL,9.49,2001
Iroquois County,Illinois,IL,11.43,2001
Jackson County,Illinois,IL,14.70,2001
Jasper County,Illinois,IL,11.50,2001
Jefferson County,Illinois,IL,11.18,2001
Jersey County,Illinois,IL,11.90,2001
Jo Daviess County,Illinois,IL,13.46,2001
Johnson County,Illinois,IL,14.84,2001
Kane County,Illinois,IL,12.61,2001
Kankakee County,Illinois,IL,11.26,2001
Kendall County,Illinois,IL,11.44,2001
Knox County,Illinois,IL,8.60,2001
Lake County,Illinois,IL,12.80,2001
LaSalle County,Illinois,IL,12.36,2001
Lawrence County,Illinois,IL,11.48,2001
Lee County,Illinois,IL,11.34,2001
Livingston County,Illinois,IL,12.07,2001
Logan County,Illinois,IL,9.00,2001
McDonough County,Illinois,IL,11.06,2001
McHenry County,Illinois,IL,13.35,2001
McLean County,Illinois,IL,9.37,2001
Macon County,Illinois,IL,10.39,2001
Macoupin County,Illinois,IL,10.92,2001
Madison County,Illinois,IL,11.85,2001
Marion County,Illinois,IL,10.52,2001
Marshall County,Illinois,IL,11.25,2001
Mason County,Illinois,IL,9.12,2001
Massac County,Illinois,IL,13.98,2001
Menard County,Illinois,IL,9.39,2001
Mercer County,Illinois,IL,9.36,2001
Monroe County,Illinois,IL,10.55,2001
Montgomery County,Illinois,IL,10.98,2001
Morgan County,Illinois,IL,9.90,2001
Moultrie County,Illinois,IL,9.80,2001
Ogle County,Illinois,IL,12.93,2001
Peoria County,Illinois,IL,10.30,2001
Perry County,Illinois,IL,10.84,2001
Piatt County,Illinois,IL,9.58,2001
Pike County,Illinois,IL,11.30,2001
Pope County,Illinois,IL,13.27,2001
Pulaski County,Illinois,IL,16.25,2001
Putnam County,Illinois,IL,11.99,2001
Randolph County,Illinois,IL,11.39,2001
Richland County,Illinois,IL,11.40,2001
Rock Island County,Illinois,IL,10.74,2001
St. Clair County,Illinois,IL,10.42,2001
Saline County,Illinois,IL,12.43,2001
Sangamon County,Illinois,IL,9.29,2001
Schuyler County,Illinois,IL,11.52,2001
Scott County,Illinois,IL,10.80,2001
Shelby County,Illinois,IL,8.35,2001
Stark County,Illinois,IL,9.31,2001
Stephenson County,Illinois,IL,14.23,2001
Tazewell County,Illinois,IL,9.92,2001
Union County,Illinois,IL,16.00,2001
Vermilion County,Illinois,IL,12.45,2001
Wabash County,Illinois,IL,11.45,2001
Warren County,Illinois,IL,9.65,2001
Washington County,Illinois,IL,11.39,2001
Wayne County,Illinois,IL,9.38,2001
White County,Illinois,IL,11.76,2001
Whiteside County,Illinois,IL,12.46,2001
Will County,Illinois,IL,11.09,2001
Williamson County,Illinois,IL,13.17,2001
Winnebago County,Illinois,IL,12.54,2001
Woodford County,Illinois,IL,10.74,2001
Adams County,Indiana,IN,13.23,2001
Allen County,Indiana,IN,13.04,2001
Bartholomew County,Indiana,IN,14.39,2001
Benton County,Indiana,IN,12.62,2001
Blackford County,Indiana,IN,13.57,2001
Boone County,Indiana,IN,13.62,2001
Brown County,Indiana,IN,15.57,2001
Carroll County,Indiana,IN,14.03,2001
Cass County,Indiana,IN,13.44,2001
