,county,year,infections
494,"GA, Miller",2002,
9532,"GA, Miller",2007,2
13448,"GA, Miller",2012,1
19283,"GA, Miller",2017,1
20540,"GA, Miller",2018,1
495,"GA, Mitchell",2002,
9533,"GA, Mitchell",2007,1
13449,"GA, Mitchell",2012,1
19284,"GA, Mitchell",2017,1
20541,"GA, Mitchell",2018,1
21890,"GA, Mitchell",2019,1
496,"GA, Monroe",2002,
3016,"GA, Monroe",2003,
497,"GA, Montgomery",2002,1
498,"GA, Morgan",2002,
3017,"GA, Morgan",2003,
5309,"GA, Morgan",2004,
19285,"GA, Morgan",2017,1
499,"GA, Murray",2002,
3018,"GA, Murray",2003,
113,"GA, Muscogee",2001,
500,"GA, Muscogee",2002,8
3019,"GA, Muscogee",2003,1
5310,"GA, Muscogee",2004,2
6836,"GA, Muscogee",2005,3
8102,"GA, Muscogee",2006,1
9534,"GA, Muscogee",2007,7
11516,"GA, Muscogee",2009,2
12236,"GA, Muscogee",2010,1
12841,"GA, Muscogee",2011,2
13450,"GA, Muscogee",2012,8
14836,"GA, Muscogee",2013,1
17045,"GA, Muscogee",2015,2
18162,"GA, Muscogee",2016,1
19286,"GA, Muscogee",2017,4
20542,"GA, Muscogee",2018,3
21891,"GA, Muscogee",2019,1
22526,"GA, Muscogee",2020,1
501,"GA, Newton",2002,1
3020,"GA, Newton",2003,
5311,"GA, Newton",2004,
9535,"GA, Newton",2007,
502,"GA, Oconee",2002,
3021,"GA, Oconee",2003,
3022,"GA, Oglethorpe",2003,
503,"GA, Paulding",2002,1
3023,"GA, Paulding",2003,
5312,"GA, Paulding",2004,
6837,"GA, Paulding",2005,1
504,"GA, Peach",2002,
5313,"GA, Peach",2004,
13451,"GA, Peach",2012,1
505,"GA, Pickens",2002,
114,"GA, Pierce",2001,1
20543,"GA, Pierce",2018,1
21892,"GA, Pierce",2019,1
506,"GA, Pike",2002,1
3024,"GA, Pike",2003,
19287,"GA, Pike",2017,
20544,"GA, Pike",2018,1
507,"GA, Polk",2002,
3025,"GA, Polk",2003,2
19288,"GA, Polk",2017,1
508,"GA, Pulaski",2002,
5314,"GA, Pulaski",2004,
509,"GA, Putnam",2002,
3026,"GA, Putnam",2003,1
19289,"GA, Quitman",2017,1
510,"GA, Rabun",2002,
511,"GA, Randolph",2002,
13452,"GA, Randolph",2012,1
115,"GA, Richmond",2001,1
512,"GA, Richmond",2002,
3027,"GA, Richmond",2003,
5315,"GA, Richmond",2004,2
6838,"GA, Richmond",2005,1
9536,"GA, Richmond",2007,3
12842,"GA, Richmond",2011,
13453,"GA, Richmond",2012,3
14837,"GA, Richmond",2013,1
16120,"GA, Richmond",2014,2
17046,"GA, Richmond",2015,3
19290,"GA, Richmond",2017,
116,"GA, Rockdale",2001,
513,"GA, Rockdale",2002,
3028,"GA, Rockdale",2003,
19291,"GA, Rockdale",2017,1
13454,"GA, Schley",2012,1
514,"GA, Screven",2002,
3029,"GA, Screven",2003,
19292,"GA, Screven",2017,
515,"GA, Seminole",2002,
3030,"GA, Seminole",2003,1
516,"GA, Spalding",2002,1
3031,"GA, Spalding",2003,
8103,"GA, Spalding",2006,
17047,"GA, Spalding",2015,1
117,"GA, Stephens",2001,
517,"GA, Stephens",2002,
19293,"GA, Stephens",2017,1
518,"GA, Sumter",2002,
3032,"GA, Sumter",2003,
13455,"GA, Sumter",2012,1
19294,"GA, Sumter",2017,1
519,"GA, Talbot",2002,
118,"GA, Tattnall",2001,
520,"GA, Tattnall",2002,
119,"GA, Taylor",2001,
3033,"GA, Taylor",2003,3
521,"GA, Telfair",2002,
3034,"GA, Telfair",2003,
522,"GA, Terrell",2002,
6839,"GA, Terrell",2005,
13456,"GA, Terrell",2012,1
120,"GA, Thomas",2001,
523,"GA, Thomas",2002,
3035,"GA, Thomas",2003,
6840,"GA, Thomas",2005,
12237,"GA, Thomas",2010,
13457,"GA, Thomas",2012,2
121,"GA, Tift",2001,
524,"GA, Tift",2002,1
3036,"GA, Tift",2003,3
6841,"GA, Tift",2005,1
9537,"GA, Tift",2007,1
11517,"GA, Tift",2009,1
122,"GA, Toombs",2001,
525,"GA, Toombs",2002,2
13458,"GA, Toombs",2012,1
526,"GA, Towns",2002,
527,"GA, Treutlen",2002,
19295,"GA, Treutlen",2017,1
528,"GA, Troup",2002,
3037,"GA, Troup",2003,
5316,"GA, Troup",2004,
13459,"GA, Troup",2012,1
529,"GA, Turner",2002,
530,"GA, Twiggs",2002,
3038,"GA, Twiggs",2003,
531,"GA, Union",2002,
532,"GA, Upson",2002,
3039,"GA, Upson",2003,
5317,"GA, Upson",2004,
19296,"GA, Upson",2017,
533,"GA, Walker",2002,
3040,"GA, Walker",2003,2
19297,"GA, Walker",2017,
534,"GA, Walton",2002,
3041,"GA, Walton",2003,
13460,"GA, Walton",2012,1
123,"GA, Ware",2001,
535,"GA, Ware",2002,
3042,"GA, Ware",2003,2
5318,"GA, Ware",2004,
8104,"GA, Ware",2006,
11518,"GA, Ware",2009,
536,"GA, Warren",2002,
3043,"GA, Washington",2003,
19298,"GA, Washington",2017,
124,"GA, Wayne",2001,2
537,"GA, Wayne",2002,
3044,"GA, Wayne",2003,1
5319,"GA, Wayne",2004,
13461,"GA, Wayne",2012,1
14838,"GA, Wayne",2013,
22527,"GA, Wayne",2020,
538,"GA, Wheeler",2002,
539,"GA, White",2002,
3045,"GA, White",2003,1
14839,"GA, White",2013,1
540,"GA, Whitfield",2002,
3046,"GA, Whitfield",2003,1
12843,"GA, Whitfield",2011,1
19299,"GA, Whitfield",2017,2
541,"GA, Wilcox",2002,
3047,"GA, Wilkes",2003,
3048,"GA, Wilkinson",2003,
125,"GA, Worth",2001,
542,"GA, Worth",2002,
3049,"GA, Worth",2003,
13462,"GA, Worth",2012,1
19300,"GA, Worth",2017,
16121,"HI, Honolulu",2014,1
737,"IA, Adair",2002,
3196,"IA, Adair",2003,
5455,"IA, Adair",2004,
8296,"IA, Adair",2006,1
9646,"IA, Adair",2007,1
738,"IA, Adams",2002,
3197,"IA, Adams",2003,
6953,"IA, Adams",2005,1
17209,"IA, Adams",2015,1
20724,"IA, Adams",2018,1
739,"IA, Allamakee",2002,
3198,"IA, Allamakee",2003,
19471,"IA, Allamakee",2017,1
740,"IA, Appanoose",2002,
3199,"IA, Appanoose",2003,
6954,"IA, Appanoose",2005,
18297,"IA, Appanoose",2016,1
741,"IA, Audubon",2002,
3200,"IA, Audubon",2003,5
5456,"IA, Audubon",2004,
15020,"IA, Audubon",2013,1
20725,"IA, Audubon",2018,1
21983,"IA, Audubon",2019,1
742,"IA, Benton",2002,2
3201,"IA, Benton",2003,1
8297,"IA, Benton",2006,
743,"IA, Black Hawk",2002,
3202,"IA, Black Hawk",2003,1
5457,"IA, Black Hawk",2004,1
6955,"IA, Black Hawk",2005,2
8298,"IA, Black Hawk",2006,1
9647,"IA, Black Hawk",2007,1
11609,"IA, Black Hawk",2009,
16244,"IA, Black Hawk",2014,
19472,"IA, Black Hawk",2017,
20726,"IA, Black Hawk",2018,
22582,"IA, Black Hawk",2020,
744,"IA, Boone",2002,1
3203,"IA, Boone",2003,2
13621,"IA, Boone",2012,1
18298,"IA, Boone",2016,1
20727,"IA, Boone",2018,1
745,"IA, Bremer",2002,
3204,"IA, Bremer",2003,1
5458,"IA, Bremer",2004,
6956,"IA, Bremer",2005,
8299,"IA, Bremer",2006,
9648,"IA, Bremer",2007,
10819,"IA, Bremer",2008,
13622,"IA, Bremer",2012,
20728,"IA, Bremer",2018,3
746,"IA, Buchanan",2002,
5459,"IA, Buchanan",2004,
8300,"IA, Buchanan",2006,
10820,"IA, Buchanan",2008,
16245,"IA, Buchanan",2014,1
20729,"IA, Buchanan",2018,
747,"IA, Buena Vista",2002,1
3205,"IA, Buena Vista",2003,2
5460,"IA, Buena Vista",2004,
6957,"IA, Buena Vista",2005,
8301,"IA, Buena Vista",2006,
13623,"IA, Buena Vista",2012,
19473,"IA, Buena Vista",2017,1
748,"IA, Butler",2002,
3206,"IA, Butler",2003,
10821,"IA, Butler",2008,
20730,"IA, Butler",2018,1
749,"IA, Calhoun",2002,2
3207,"IA, Calhoun",2003,
6958,"IA, Calhoun",2005,2
10822,"IA, Calhoun",2008,
20731,"IA, Calhoun",2018,2
750,"IA, Carroll",2002,2
3208,"IA, Carroll",2003,1
5461,"IA, Carroll",2004,
6959,"IA, Carroll",2005,1
8302,"IA, Carroll",2006,1
9649,"IA, Carroll",2007,2
10823,"IA, Carroll",2008,1
751,"IA, Cass",2002,3
3209,"IA, Cass",2003,
8303,"IA, Cass",2006,1
13624,"IA, Cass",2012,1
15021,"IA, Cass",2013,1
752,"IA, Cedar",2002,1
3210,"IA, Cedar",2003,1
5462,"IA, Cedar",2004,
9650,"IA, Cedar",2007,1
13625,"IA, Cedar",2012,
17210,"IA, Cedar",2015,
753,"IA, Cerro Gordo",2002,
3211,"IA, Cerro Gordo",2003,3
5463,"IA, Cerro Gordo",2004,1
6960,"IA, Cerro Gordo",2005,
8304,"IA, Cerro Gordo",2006,1
9651,"IA, Cerro Gordo",2007,
12907,"IA, Cerro Gordo",2011,1
15022,"IA, Cerro Gordo",2013,
754,"IA, Cherokee",2002,
3212,"IA, Cherokee",2003,3
5464,"IA, Cherokee",2004,1
6961,"IA, Cherokee",2005,1
13626,"IA, Cherokee",2012,1
755,"IA, Chickasaw",2002,
3213,"IA, Chickasaw",2003,1
5465,"IA, Chickasaw",2004,1
6962,"IA, Chickasaw",2005,1
8305,"IA, Chickasaw",2006,
9652,"IA, Chickasaw",2007,
13627,"IA, Chickasaw",2012,
20732,"IA, Chickasaw",2018,1
756,"IA, Clarke",2002,
3214,"IA, Clarke",2003,1
6963,"IA, Clarke",2005,1
13628,"IA, Clarke",2012,
17211,"IA, Clarke",2015,1
20733,"IA, Clarke",2018,1
757,"IA, Clay",2002,
3215,"IA, Clay",2003,
5466,"IA, Clay",2004,
8306,"IA, Clay",2006,
9653,"IA, Clay",2007,
13629,"IA, Clay",2012,
16246,"IA, Clay",2014,1
20734,"IA, Clay",2018,
758,"IA, Clayton",2002,
11610,"IA, Clayton",2009,1
759,"IA, Clinton",2002,
3216,"IA, Clinton",2003,
5467,"IA, Clinton",2004,1
6964,"IA, Clinton",2005,1
8307,"IA, Clinton",2006,
11611,"IA, Clinton",2009,
18299,"IA, Clinton",2016,2
20735,"IA, Clinton",2018,
760,"IA, Crawford",2002,2
3217,"IA, Crawford",2003,
5468,"IA, Crawford",2004,1
6965,"IA, Crawford",2005,2
8308,"IA, Crawford",2006,
10824,"IA, Crawford",2008,1
15023,"IA, Crawford",2013,2
16247,"IA, Crawford",2014,2
18300,"IA, Crawford",2016,
761,"IA, Dallas",2002,1
3218,"IA, Dallas",2003,2
5469,"IA, Dallas",2004,
6966,"IA, Dallas",2005,
9654,"IA, Dallas",2007,
15024,"IA, Dallas",2013,2
17212,"IA, Dallas",2015,1
762,"IA, Davis",2002,
3219,"IA, Davis",2003,
8309,"IA, Davis",2006,
13630,"IA, Davis",2012,
15025,"IA, Davis",2013,
16248,"IA, Davis",2014,
17213,"IA, Davis",2015,
21984,"IA, Davis",2019,
763,"IA, Decatur",2002,
3220,"IA, Decatur",2003,1
764,"IA, Delaware",2002,
3221,"IA, Delaware",2003,
6967,"IA, Delaware",2005,1
8310,"IA, Delaware",2006,
765,"IA, Des Moines",2002,1
3222,"IA, Des Moines",2003,1
5470,"IA, Des Moines",2004,
6968,"IA, Des Moines",2005,
13631,"IA, Des Moines",2012,1
18301,"IA, Des Moines",2016,1
19474,"IA, Des Moines",2017,
20736,"IA, Des Moines",2018,2
766,"IA, Dickinson",2002,
3223,"IA, Dickinson",2003,5
5471,"IA, Dickinson",2004,
6969,"IA, Dickinson",2005,2
8311,"IA, Dickinson",2006,2
9655,"IA, Dickinson",2007,2
13632,"IA, Dickinson",2012,2
15026,"IA, Dickinson",2013,1
19475,"IA, Dickinson",2017,
767,"IA, Dubuque",2002,
3224,"IA, Dubuque",2003,1
6970,"IA, Dubuque",2005,
8312,"IA, Dubuque",2006,
9656,"IA, Dubuque",2007,
11612,"IA, Dubuque",2009,1
17214,"IA, Dubuque",2015,
20737,"IA, Dubuque",2018,
768,"IA, Emmet",2002,
5472,"IA, Emmet",2004,1
8313,"IA, Emmet",2006,3
20738,"IA, Emmet",2018,1
769,"IA, Fayette",2002,
3225,"IA, Fayette",2003,1
15027,"IA, Fayette",2013,1
19476,"IA, Fayette",2017,
20739,"IA, Fayette",2018,1
770,"IA, Floyd",2002,
3226,"IA, Floyd",2003,2
5473,"IA, Floyd",2004,1
13633,"IA, Floyd",2012,1
18302,"IA, Floyd",2016,
20740,"IA, Floyd",2018,1
771,"IA, Franklin",2002,
3227,"IA, Franklin",2003,
6971,"IA, Franklin",2005,
8314,"IA, Franklin",2006,1
9657,"IA, Franklin",2007,1
18303,"IA, Franklin",2016,
20741,"IA, Franklin",2018,1
772,"IA, Fremont",2002,1
12908,"IA, Fremont",2011,1
13634,"IA, Fremont",2012,1
15028,"IA, Fremont",2013,1
18304,"IA, Fremont",2016,1
22583,"IA, Fremont",2020,
773,"IA, Greene",2002,1
3228,"IA, Greene",2003,
5474,"IA, Greene",2004,
13635,"IA, Greene",2012,
20742,"IA, Greene",2018,1
774,"IA, Grundy",2002,
3229,"IA, Grundy",2003,
5475,"IA, Grundy",2004,
8315,"IA, Grundy",2006,
13636,"IA, Grundy",2012,1
15029,"IA, Grundy",2013,
775,"IA, Guthrie",2002,
3230,"IA, Guthrie",2003,1
13637,"IA, Guthrie",2012,
776,"IA, Hamilton",2002,
3231,"IA, Hamilton",2003,1
5476,"IA, Hamilton",2004,
8316,"IA, Hamilton",2006,
15030,"IA, Hamilton",2013,1
777,"IA, Hancock",2002,
3232,"IA, Hancock",2003,1
5477,"IA, Hancock",2004,
6972,"IA, Hancock",2005,
17215,"IA, Hancock",2015,1
778,"IA, Hardin",2002,
3233,"IA, Hardin",2003,
5478,"IA, Hardin",2004,1
6973,"IA, Hardin",2005,
8317,"IA, Hardin",2006,1
18305,"IA, Hardin",2016,
779,"IA, Harrison",2002,
3234,"IA, Harrison",2003,3
6974,"IA, Harrison",2005,
8318,"IA, Harrison",2006,1
12909,"IA, Harrison",2011,3
13638,"IA, Harrison",2012,1
15031,"IA, Harrison",2013,1
17216,"IA, Harrison",2015,
18306,"IA, Harrison",2016,
20743,"IA, Harrison",2018,3
21985,"IA, Harrison",2019,1
780,"IA, Henry",2002,3
3235,"IA, Henry",2003,
5479,"IA, Henry",2004,
6975,"IA, Henry",2005,
8319,"IA, Henry",2006,1
18307,"IA, Henry",2016,1
20744,"IA, Henry",2018,1
781,"IA, Howard",2002,
3236,"IA, Howard",2003,
5480,"IA, Howard",2004,
9658,"IA, Howard",2007,
12330,"IA, Howard",2010,
20745,"IA, Howard",2018,
782,"IA, Humboldt",2002,1
6976,"IA, Humboldt",2005,
15032,"IA, Humboldt",2013,2
16249,"IA, Humboldt",2014,1
18308,"IA, Humboldt",2016,1
20746,"IA, Humboldt",2018,2
21986,"IA, Humboldt",2019,
783,"IA, Ida",2002,
3237,"IA, Ida",2003,2
6977,"IA, Ida",2005,
15033,"IA, Ida",2013,1
19477,"IA, Ida",2017,1
20747,"IA, Ida",2018,1
784,"IA, Iowa",2002,1
3238,"IA, Iowa",2003,
5481,"IA, Iowa",2004,
785,"IA, Jackson",2002,
3239,"IA, Jackson",2003,
5482,"IA, Jackson",2004,1
6978,"IA, Jackson",2005,
8320,"IA, Jackson",2006,1
9659,"IA, Jackson",2007,1
13639,"IA, Jackson",2012,
15034,"IA, Jackson",2013,
18309,"IA, Jackson",2016,
786,"IA, Jasper",2002,1
3240,"IA, Jasper",2003,4
5483,"IA, Jasper",2004,
15035,"IA, Jasper",2013,1
20748,"IA, Jasper",2018,1
787,"IA, Jefferson",2002,
3241,"IA, Jefferson",2003,
6979,"IA, Jefferson",2005,
13640,"IA, Jefferson",2012,
17217,"IA, Jefferson",2015,
18310,"IA, Jefferson",2016,
788,"IA, Johnson",2002,
3242,"IA, Johnson",2003,1
5484,"IA, Johnson",2004,1
8321,"IA, Johnson",2006,
13641,"IA, Johnson",2012,
16250,"IA, Johnson",2014,
18311,"IA, Johnson",2016,2
20749,"IA, Johnson",2018,2
789,"IA, Jones",2002,1
3243,"IA, Jones",2003,1
5485,"IA, Jones",2004,
13642,"IA, Jones",2012,
790,"IA, Keokuk",2002,
3244,"IA, Keokuk",2003,2
8322,"IA, Keokuk",2006,
791,"IA, Kossuth",2002,
3245,"IA, Kossuth",2003,1
6980,"IA, Kossuth",2005,1
8323,"IA, Kossuth",2006,1
15036,"IA, Kossuth",2013,1
20750,"IA, Kossuth",2018,1
792,"IA, Lee",2002,2
3246,"IA, Lee",2003,1
5486,"IA, Lee",2004,
6981,"IA, Lee",2005,
8324,"IA, Lee",2006,1
15037,"IA, Lee",2013,
17218,"IA, Lee",2015,1
793,"IA, Linn",2002,2
3247,"IA, Linn",2003,1
5487,"IA, Linn",2004,
6982,"IA, Linn",2005,
8325,"IA, Linn",2006,
12331,"IA, Linn",2010,
13643,"IA, Linn",2012,1
15038,"IA, Linn",2013,1
16251,"IA, Linn",2014,
18312,"IA, Linn",2016,1
19478,"IA, Linn",2017,1
794,"IA, Louisa",2002,
3248,"IA, Louisa",2003,1
5488,"IA, Louisa",2004,
16252,"IA, Louisa",2014,
17219,"IA, Louisa",2015,1
795,"IA, Lucas",2002,
3249,"IA, Lucas",2003,
9660,"IA, Lucas",2007,1
11613,"IA, Lucas",2009,1
13644,"IA, Lucas",2012,
16253,"IA, Lucas",2014,
796,"IA, Lyon",2002,1
3250,"IA, Lyon",2003,4
6983,"IA, Lyon",2005,1
8326,"IA, Lyon",2006,
13645,"IA, Lyon",2012,3
15039,"IA, Lyon",2013,2
17220,"IA, Lyon",2015,1
18313,"IA, Lyon",2016,3
19479,"IA, Lyon",2017,2
20751,"IA, Lyon",2018,8
797,"IA, Madison",2002,
3251,"IA, Madison",2003,1
6984,"IA, Madison",2005,2
13646,"IA, Madison",2012,1
798,"IA, Mahaska",2002,1
3252,"IA, Mahaska",2003,2
17221,"IA, Mahaska",2015,2
20752,"IA, Mahaska",2018,
799,"IA, Marion",2002,
3253,"IA, Marion",2003,1
5489,"IA, Marion",2004,
8327,"IA, Marion",2006,2
13647,"IA, Marion",2012,1
20753,"IA, Marion",2018,1
800,"IA, Marshall",2002,4
3254,"IA, Marshall",2003,
5490,"IA, Marshall",2004,
8328,"IA, Marshall",2006,1
13648,"IA, Marshall",2012,
19480,"IA, Marshall",2017,
20754,"IA, Marshall",2018,
22584,"IA, Marshall",2020,1
801,"IA, Mills",2002,
3255,"IA, Mills",2003,1
6985,"IA, Mills",2005,1
12910,"IA, Mills",2011,2
20755,"IA, Mills",2018,3
802,"IA, Mitchell",2002,
3256,"IA, Mitchell",2003,
8329,"IA, Mitchell",2006,
20756,"IA, Mitchell",2018,1
21987,"IA, Mitchell",2019,
803,"IA, Monona",2002,
3257,"IA, Monona",2003,7
6986,"IA, Monona",2005,1
9661,"IA, Monona",2007,1
10825,"IA, Monona",2008,2
15040,"IA, Monona",2013,4
16254,"IA, Monona",2014,1
18314,"IA, Monona",2016,1
19481,"IA, Monona",2017,
20757,"IA, Monona",2018,1
804,"IA, Monroe",2002,
3258,"IA, Monroe",2003,
5491,"IA, Monroe",2004,1
9662,"IA, Monroe",2007,1
13649,"IA, Monroe",2012,
15041,"IA, Monroe",2013,1
20758,"IA, Monroe",2018,1
805,"IA, Montgomery",2002,2
3259,"IA, Montgomery",2003,2
5492,"IA, Montgomery",2004,
6987,"IA, Montgomery",2005,1
9663,"IA, Montgomery",2007,1
10826,"IA, Montgomery",2008,1
11614,"IA, Montgomery",2009,1
13650,"IA, Montgomery",2012,1
15042,"IA, Montgomery",2013,2
20759,"IA, Montgomery",2018,1
806,"IA, Muscatine",2002,
3260,"IA, Muscatine",2003,1
5493,"IA, Muscatine",2004,1
9664,"IA, Muscatine",2007,1
807,"IA, O Brien",2002,
3261,"IA, O Brien",2003,2
5494,"IA, O Brien",2004,1
6988,"IA, O Brien",2005,
8330,"IA, O Brien",2006,1
12332,"IA, O Brien",2010,1
18315,"IA, O Brien",2016,2
19482,"IA, O Brien",2017,
20760,"IA, O Brien",2018,1
22585,"IA, O Brien",2020,
808,"IA, Osceola",2002,
3262,"IA, Osceola",2003,2
8331,"IA, Osceola",2006,
19483,"IA, Osceola",2017,1
809,"IA, Page",2002,
3263,"IA, Page",2003,3
5495,"IA, Page",2004,
6989,"IA, Page",2005,
9665,"IA, Page",2007,2
13651,"IA, Page",2012,2
20761,"IA, Page",2018,1
810,"IA, Palo Alto",2002,
3264,"IA, Palo Alto",2003,
5496,"IA, Palo Alto",2004,
13652,"IA, Palo Alto",2012,1
20762,"IA, Palo Alto",2018,1
811,"IA, Plymouth",2002,
3265,"IA, Plymouth",2003,7
5497,"IA, Plymouth",2004,2
6990,"IA, Plymouth",2005,1
8332,"IA, Plymouth",2006,3
9666,"IA, Plymouth",2007,1
13653,"IA, Plymouth",2012,2
15043,"IA, Plymouth",2013,1
16255,"IA, Plymouth",2014,1
17222,"IA, Plymouth",2015,1
18316,"IA, Plymouth",2016,2
20763,"IA, Plymouth",2018,2
22586,"IA, Plymouth",2020,1
812,"IA, Pocahontas",2002,
3266,"IA, Pocahontas",2003,1
5498,"IA, Pocahontas",2004,
6991,"IA, Pocahontas",2005,2
8333,"IA, Pocahontas",2006,
813,"IA, Polk",2002,3
3267,"IA, Polk",2003,12
5499,"IA, Polk",2004,1
6992,"IA, Polk",2005,2
8334,"IA, Polk",2006,1
9667,"IA, Polk",2007,2
10827,"IA, Polk",2008,
11615,"IA, Polk",2009,
12333,"IA, Polk",2010,1
12911,"IA, Polk",2011,
13654,"IA, Polk",2012,1
15044,"IA, Polk",2013,
16256,"IA, Polk",2014,1
17223,"IA, Polk",2015,1
18317,"IA, Polk",2016,
19484,"IA, Polk",2017,1
20764,"IA, Polk",2018,12
21988,"IA, Polk",2019,
22587,"IA, Polk",2020,1
814,"IA, Pottawattamie",2002,1
3268,"IA, Pottawattamie",2003,9
5500,"IA, Pottawattamie",2004,1
6993,"IA, Pottawattamie",2005,1
8335,"IA, Pottawattamie",2006,3
9668,"IA, Pottawattamie",2007,1
10828,"IA, Pottawattamie",2008,1
11616,"IA, Pottawattamie",2009,1
12334,"IA, Pottawattamie",2010,1
12912,"IA, Pottawattamie",2011,2
13655,"IA, Pottawattamie",2012,2
15045,"IA, Pottawattamie",2013,4
16257,"IA, Pottawattamie",2014,1
18318,"IA, Pottawattamie",2016,2
19485,"IA, Pottawattamie",2017,1
20765,"IA, Pottawattamie",2018,12
815,"IA, Poweshiek",2002,1
3269,"IA, Poweshiek",2003,
16258,"IA, Poweshiek",2014,
19486,"IA, Poweshiek",2017,1
20766,"IA, Poweshiek",2018,1
816,"IA, Ringgold",2002,
3270,"IA, Ringgold",2003,
5501,"IA, Ringgold",2004,
6994,"IA, Ringgold",2005,
8336,"IA, Ringgold",2006,1
15046,"IA, Ringgold",2013,1
17224,"IA, Ringgold",2015,1
817,"IA, Sac",2002,
3271,"IA, Sac",2003,
6995,"IA, Sac",2005,2
8337,"IA, Sac",2006,
9669,"IA, Sac",2007,1
11617,"IA, Sac",2009,
16259,"IA, Sac",2014,1
20767,"IA, Sac",2018,
141,"IA, Scott",2001,
818,"IA, Scott",2002,3
3272,"IA, Scott",2003,2
5502,"IA, Scott",2004,
6996,"IA, Scott",2005,1
8338,"IA, Scott",2006,
9670,"IA, Scott",2007,
10829,"IA, Scott",2008,
12335,"IA, Scott",2010,
13656,"IA, Scott",2012,
15047,"IA, Scott",2013,1
18319,"IA, Scott",2016,1
20768,"IA, Scott",2018,1
819,"IA, Shelby",2002,
3273,"IA, Shelby",2003,1
5503,"IA, Shelby",2004,2
6997,"IA, Shelby",2005,
8339,"IA, Shelby",2006,1
13657,"IA, Shelby",2012,
15048,"IA, Shelby",2013,1
18320,"IA, Shelby",2016,1
20769,"IA, Shelby",2018,1
820,"IA, Sioux",2002,1
3274,"IA, Sioux",2003,14
5504,"IA, Sioux",2004,
6998,"IA, Sioux",2005,1
8340,"IA, Sioux",2006,1
9671,"IA, Sioux",2007,2
13658,"IA, Sioux",2012,1
16260,"IA, Sioux",2014,2
18321,"IA, Sioux",2016,11
19487,"IA, Sioux",2017,
20770,"IA, Sioux",2018,9
21989,"IA, Sioux",2019,1
821,"IA, Story",2002,1
3275,"IA, Story",2003,1
5505,"IA, Story",2004,1
6999,"IA, Story",2005,
8341,"IA, Story",2006,
9672,"IA, Story",2007,1
11618,"IA, Story",2009,
12336,"IA, Story",2010,
13659,"IA, Story",2012,
15049,"IA, Story",2013,
16261,"IA, Story",2014,
17225,"IA, Story",2015,
18322,"IA, Story",2016,
19488,"IA, Story",2017,1
20771,"IA, Story",2018,4
822,"IA, Tama",2002,
3276,"IA, Tama",2003,
13660,"IA, Tama",2012,2
17226,"IA, Tama",2015,1
18323,"IA, Tama",2016,1
823,"IA, Taylor",2002,
3277,"IA, Taylor",2003,
824,"IA, Union",2002,
3278,"IA, Union",2003,
7000,"IA, Union",2005,2
15050,"IA, Union",2013,
20772,"IA, Union",2018,
21990,"IA, Union",2019,
825,"IA, Van Buren",2002,
3279,"IA, Van Buren",2003,
7001,"IA, Van Buren",2005,
15051,"IA, Van Buren",2013,1
18324,"IA, Van Buren",2016,
20773,"IA, Van Buren",2018,1
826,"IA, Wapello",2002,
3280,"IA, Wapello",2003,1
5506,"IA, Wapello",2004,
7002,"IA, Wapello",2005,
8342,"IA, Wapello",2006,2
9673,"IA, Wapello",2007,1
20774,"IA, Wapello",2018,
827,"IA, Warren",2002,1
3281,"IA, Warren",2003,1
5507,"IA, Warren",2004,
7003,"IA, Warren",2005,
8343,"IA, Warren",2006,
11619,"IA, Warren",2009,
12337,"IA, Warren",2010,
17227,"IA, Warren",2015,1
20775,"IA, Warren",2018,3
828,"IA, Washington",2002,
3282,"IA, Washington",2003,1
8344,"IA, Washington",2006,1
9674,"IA, Washington",2007,1
12913,"IA, Washington",2011,
13661,"IA, Washington",2012,
18325,"IA, Washington",2016,
20776,"IA, Washington",2018,1
829,"IA, Wayne",2002,
3283,"IA, Wayne",2003,
9675,"IA, Wayne",2007,
13662,"IA, Wayne",2012,
20777,"IA, Wayne",2018,1
830,"IA, Webster",2002,2
3284,"IA, Webster",2003,1
5508,"IA, Webster",2004,
9676,"IA, Webster",2007,1
12338,"IA, Webster",2010,2
15052,"IA, Webster",2013,
17228,"IA, Webster",2015,
18326,"IA, Webster",2016,
831,"IA, Winnebago",2002,
3285,"IA, Winnebago",2003,
5509,"IA, Winnebago",2004,1
8345,"IA, Winnebago",2006,
13663,"IA, Winnebago",2012,
832,"IA, Winneshiek",2002,1
3286,"IA, Winneshiek",2003,
5510,"IA, Winneshiek",2004,
8346,"IA, Winneshiek",2006,
9677,"IA, Winneshiek",2007,
13664,"IA, Winneshiek",2012,
833,"IA, Woodbury",2002,1
3287,"IA, Woodbury",2003,15
5511,"IA, Woodbury",2004,
7004,"IA, Woodbury",2005,3
8347,"IA, Woodbury",2006,3
9678,"IA, Woodbury",2007,3
10830,"IA, Woodbury",2008,
11620,"IA, Woodbury",2009,
12339,"IA, Woodbury",2010,2
12914,"IA, Woodbury",2011,
13665,"IA, Woodbury",2012,3
15053,"IA, Woodbury",2013,9
16262,"IA, Woodbury",2014,3
18327,"IA, Woodbury",2016,2
19489,"IA, Woodbury",2017,1
20778,"IA, Woodbury",2018,8
21991,"IA, Woodbury",2019,2
22588,"IA, Woodbury",2020,
834,"IA, Worth",2002,
3288,"IA, Worth",2003,
13666,"IA, Worth",2012,
19490,"IA, Worth",2017,
835,"IA, Wright",2002,2
